"Season","Squad","Comp","Player","Nation","Pos","Age","Starts_Playing_Time","Min_Playing_Time","Mins_Per_90_Playing_Time","Gls","Ast","G+A","G_minus_PK","PK","PKatt","CrdY","CrdR","xG_Expected","npxG_Expected","xAG_Expected","npxG+xAG_Expected","PrgC_Progression","PrgP_Progression","PrgR_Progression","Gls_Per_Minutes","Ast_Per_Minutes","G+A_Per_Minutes","G_minus_PK_Per_Minutes","G+A_minus_PK_Per_Minutes","xG_Per_Minutes","xAG_Per_Minutes","xG+xAG_Per_Minutes","npxG_Per_Minutes","npxG+xAG_Per_Minutes","MP","Mins_Per_90","Tkl_Tackles","TklW_Tackles","Def 3rd_Tackles","Mid 3rd_Tackles","Att 3rd_Tackles","Tkl_Challenges","Att_Challenges","Tkl_percent_Challenges","Lost_Challenges","Blocks_Blocks","Sh_Blocks","Pass_Blocks","Int","Tkl+Int","Clr","Err","Cmp_Total","Att_Total","Cmp_percent_Total","TotDist_Total","PrgDist_Total","Cmp_Short","Att_Short","Cmp_percent_Short","Cmp_Medium","Att_Medium","Cmp_percent_Medium","Cmp_Long","Att_Long","Cmp_percent_Long","xAG","xA","A_minus_xAG","KP","Final_Third","PPA","CrsPA","PrgP","Gls_Standard","Sh_Standard","SoT_Standard","SoT_percent_Standard","Sh_per_90_Standard","SoT_per_90_Standard","G_per_Sh_Standard","G_per_SoT_Standard","Dist_Standard","FK_Standard","PK_Standard","PKatt_Standard","npxG_per_Sh_Expected","G_minus_xG_Expected","np:G_minus_xG_Expected","Att","Live_Pass_Types","Dead_Pass_Types","FK_Pass_Types","TB_Pass_Types","Sw_Pass_Types","Crs_Pass_Types","TI_Pass_Types","CK_Pass_Types","In_Corner_Kicks","Out_Corner_Kicks","Str_Corner_Kicks","Cmp_Outcomes","Off_Outcomes","Blocks_Outcomes","SCA_SCA","SCA90_SCA","PassLive_SCA_Types","PassDead_SCA_Types","TO_SCA_Types","Sh_SCA_Types","Fld_SCA_Types","Def_SCA_Types","GCA_GCA","GCA90_GCA","PassLive_GCA_Types","PassDead_GCA_Types","TO_GCA_Types","Sh_GCA_Types","Fld_GCA_Types","Def_GCA_Types","Touches_Touches","Def Pen_Touches","Def 3rd_Touches","Mid 3rd_Touches","Att 3rd_Touches","Att Pen_Touches","Live_Touches","Att_Take_Ons","Succ_Take_Ons","Succ_percent_Take_Ons","Tkld_Take_Ons","Tkld_percent_Take_Ons","Carries_Carries","TotDist_Carries","PrgDist_Carries","PrgC_Carries","Final_Third_Carries","CPA_Carries","Mis_Carries","Dis_Carries","Rec_Receiving","PrgR_Receiving","2CrdY","Fls","Fld","Off","Crs","TklW","PKwon","PKcon","OG","Recov","Won_Aerial_Duels","Lost_Aerial_Duels","Won_percent_Aerial_Duels"
"2022-2023","Feyenoord","Eredivisie","Dávid Hancko","SVK","DF","24",31,2745,30.5,2,4,6,2,0,0,2,0,3.1,3.1,2.3,5.4,63,227,44,0.07,0.13,0.2,0.07,0.2,0.1,0.07,0.18,0.1,0.18,NA,30.5,71,43,43,24,4,44,53,83,9,29,16,13,31,102,103,1,1986,2282,87,38119,13910,708,751,94.3,1056,1148,92,200,334,59.9,2.3,2.2,1.7,19,249,11,2,227,2,42,11,26.2,1.38,0.36,0.05,0.18,13.1,0,0,0,0.08,-1.1,-1.1,2282,2188,91,44,3,16,23,35,0,0,0,0,1986,3,13,65,2.13,52,2,2,6,3,0,6,0.2,3,0,0,3,0,0,2615,228,1015,1368,255,66,2615,19,13,68.4,5,26.3,1697,9450,6326,63,40,3,29,8,1818,44,0,12,19,2,23,43,0,0,0,231,37,24,60.7
"2022-2023","Feyenoord","Eredivisie","Orkun Kökçü","TUR","MF","21",31,2696,30,8,2,10,6,2,2,6,0,5.6,4.1,7.1,11.1,91,379,104,0.27,0.07,0.33,0.2,0.27,0.19,0.24,0.42,0.14,0.37,NA,30,39,18,12,15,12,17,45,37.8,28,16,6,10,19,58,16,0,2044,2510,81.4,36150,12660,920,1008,91.3,845,979,86.3,219,393,55.7,7.1,8.1,-5.1,89,327,75,18,379,8,82,29,35.4,2.74,0.97,0.07,0.21,25.5,21,2,2,0.05,2.4,1.9,2510,2252,249,106,11,15,149,32,108,50,16,0,2044,9,39,196,6.55,131,43,7,11,4,0,15,0.5,9,1,2,2,1,0,2839,42,356,1598,918,53,2837,60,30,50,22,36.7,1822,9357,4726,91,77,10,58,44,2057,104,0,23,27,0,149,18,0,0,0,241,9,11,45
"2022-2023","Feyenoord","Eredivisie","Lutsharel Geertruida","NED","DF,MF","22",29,2572,28.6,3,2,5,3,0,0,1,0,3.2,3.2,2.4,5.6,64,211,48,0.1,0.07,0.17,0.1,0.17,0.11,0.08,0.2,0.11,0.2,NA,28.6,48,34,24,21,3,21,28,75,7,12,6,6,31,79,48,1,1844,2043,90.3,32210,9930,746,802,93,948,1012,93.7,122,172,70.9,2.4,2.5,-0.4,25,183,14,5,211,3,26,8,30.8,0.91,0.28,0.12,0.38,17.7,0,0,0,0.12,-0.2,-0.2,2043,1913,128,33,2,7,12,95,0,0,0,0,1844,2,16,66,2.31,60,2,1,1,2,0,7,0.25,6,0,1,0,0,0,2257,106,568,1380,321,33,2257,33,17,51.5,10,30.3,1516,8342,4900,64,40,5,22,15,1669,48,0,16,15,1,12,34,0,0,0,176,20,14,58.8
"2022-2023","Feyenoord","Eredivisie","Marcus Pedersen","NOR","DF","22",25,2117,23.5,1,2,3,1,0,0,3,0,1.5,1.5,2.3,3.9,114,54,141,0.04,0.09,0.13,0.04,0.13,0.07,0.1,0.16,0.07,0.16,NA,23.5,41,23,20,14,7,24,28,85.7,4,16,4,12,9,50,60,1,966,1177,82.1,15285,2783,497,546,91,392,463,84.7,57,105,54.3,2.3,2.7,-0.3,30,61,22,14,54,1,19,4,21.1,0.81,0.17,0.05,0.25,17.5,0,0,0,0.08,-0.5,-0.5,1177,997,178,9,0,5,61,169,0,0,0,0,966,2,32,59,2.51,52,0,5,1,0,1,5,0.21,4,0,1,0,0,0,1407,76,331,627,464,66,1407,60,32,53.3,22,36.7,811,6081,3366,114,58,21,27,18,839,141,0,27,9,3,61,23,0,0,0,124,3,6,33.3
"2022-2023","Feyenoord","Eredivisie","Sebastian Szymański","POL","MF,FW","23",24,1966,21.8,9,4,13,9,0,0,3,0,6,6,4.1,10.1,39,91,142,0.41,0.18,0.6,0.41,0.6,0.27,0.19,0.46,0.27,0.46,NA,21.8,51,29,13,26,12,24,47,51.1,23,28,2,26,11,62,11,1,582,829,70.2,9164,2961,310,363,85.4,179,249,71.9,61,128,47.7,4.1,5.4,-0.1,50,48,36,11,91,9,59,23,39,2.7,1.05,0.15,0.39,19.4,4,0,0,0.1,3,3,829,704,121,15,4,7,115,5,87,42,19,0,582,4,33,107,4.9,62,32,4,3,3,3,12,0.55,9,1,0,1,1,0,1118,13,93,430,600,92,1118,49,14,28.6,31,63.3,613,2897,1414,39,32,9,47,27,704,142,0,25,33,1,115,29,0,0,0,96,7,27,20.6
"2022-2023","Feyenoord","Eredivisie","Javairô Dilrosun","NED","FW,MF","24",23,1881,20.9,5,5,10,5,0,0,1,0,3.3,3.3,4,7.2,101,73,218,0.24,0.24,0.48,0.24,0.48,0.16,0.19,0.35,0.16,0.35,NA,20.9,21,11,8,11,2,12,27,44.4,15,20,0,20,15,36,17,0,615,775,79.4,9118,1944,347,398,87.2,200,245,81.6,36,76,47.4,4,4.2,1,40,28,44,11,73,5,53,16,30.2,2.54,0.77,0.09,0.31,20.4,2,0,0,0.06,1.7,1.7,775,733,42,3,2,1,67,17,16,11,0,0,615,0,13,84,4.02,64,6,6,3,5,0,9,0.43,9,0,0,0,0,0,1059,25,95,355,627,71,1059,99,48,48.5,36,36.4,695,5128,2723,101,54,36,46,19,770,218,0,11,25,2,67,11,0,0,1,86,8,13,38.1
"2022-2023","Feyenoord","Eredivisie","Santiago Giménez","MEX","FW","21",21,1926,21.4,15,2,17,15,0,0,3,0,14.7,14.7,2.1,16.8,31,28,129,0.7,0.09,0.79,0.7,0.79,0.69,0.1,0.79,0.69,0.79,NA,21.4,11,4,4,2,5,0,10,0,10,13,0,13,4,15,5,0,208,297,70,2707,466,133,175,76,52,74,70.3,7,14,50,2.1,2.8,-0.1,20,6,11,0,28,15,86,29,33.7,4.02,1.36,0.17,0.52,12.8,0,0,0,0.17,0.3,0.3,297,278,18,1,2,1,1,3,0,0,0,0,208,1,6,47,2.2,30,0,4,4,9,0,7,0.33,3,0,1,1,2,0,574,4,20,193,371,172,574,58,14,24.1,39,67.2,364,1926,774,31,18,24,75,28,448,129,0,19,27,13,1,4,2,0,0,56,33,29,53.2
"2022-2023","Feyenoord","Eredivisie","Quilindschy Hartman","NED","DF","20",21,1664,18.5,2,4,6,2,0,0,5,0,0.4,0.4,2,2.4,35,106,91,0.11,0.22,0.32,0.11,0.32,0.02,0.11,0.13,0.02,0.13,NA,18.5,40,20,12,16,12,20,31,64.5,11,25,9,16,28,68,36,1,931,1193,78,15067,4649,472,540,87.4,374,466,80.3,65,116,56,2,2.3,2,19,71,29,9,106,2,11,5,45.5,0.59,0.27,0.18,0.4,20.6,0,0,0,0.03,1.6,1.6,1193,1043,147,14,2,8,46,133,0,0,0,0,931,3,32,45,2.43,42,2,0,0,0,1,7,0.38,6,0,0,0,0,1,1375,41,312,731,345,37,1375,21,5,23.8,14,66.7,759,3196,1742,35,34,4,19,8,818,91,0,20,2,0,46,20,0,0,0,105,40,20,66.7
"2022-2023","Feyenoord","Eredivisie","Quinten Timber","NED","MF","21",19,1638,18.2,2,3,5,2,0,0,2,0,2.4,2.4,2.1,4.5,49,92,74,0.11,0.16,0.27,0.11,0.27,0.13,0.12,0.25,0.13,0.25,NA,18.2,44,19,17,21,6,14,26,53.8,12,18,0,18,21,65,3,0,659,778,84.7,9576,2364,349,393,88.8,251,284,88.4,19,35,54.3,2.1,2.6,0.9,33,80,12,0,92,2,24,11,45.8,1.32,0.6,0.08,0.18,22.5,0,0,0,0.1,-0.4,-0.4,778,752,22,9,5,3,9,10,0,0,0,0,659,4,10,72,3.96,61,0,3,1,5,2,6,0.33,5,0,0,0,0,1,1004,9,116,544,364,50,1004,69,39,56.5,23,33.3,619,3301,1766,49,46,17,46,20,701,74,0,21,26,0,9,19,0,0,0,111,7,14,33.3
"2022-2023","Feyenoord","Eredivisie","Mats Wieffer","NED","MF","22",18,1673,18.6,1,5,6,1,0,0,5,0,1.8,1.8,2.2,4.1,31,138,37,0.05,0.27,0.32,0.05,0.32,0.1,0.12,0.22,0.1,0.22,NA,18.6,50,29,16,31,3,23,58,39.7,35,26,4,22,26,76,37,0,1075,1302,82.6,17609,4835,520,595,87.4,434,506,85.8,80,114,70.2,2.2,2.3,2.8,24,135,12,2,138,1,23,3,13,1.24,0.16,0.04,0.33,15.5,0,0,0,0.08,-0.8,-0.8,1302,1278,22,13,6,11,15,9,0,0,0,0,1075,2,21,64,3.45,57,0,2,1,1,3,9,0.48,9,0,0,0,0,0,1562,58,286,955,341,42,1562,42,26,61.9,14,33.3,891,4034,1796,31,35,6,35,16,978,37,0,36,24,0,15,29,0,1,0,176,63,45,58.3
"2022-2023","Feyenoord","Eredivisie","Gernot Trauner","AUT","DF","30",18,1606,17.8,0,0,0,0,0,0,4,0,0.8,0.8,0.2,1,24,109,6,0,0,0,0,0,0.04,0.01,0.06,0.04,0.06,NA,17.8,36,26,17,16,3,19,28,67.9,9,19,12,7,26,62,52,0,1133,1269,89.3,21297,8324,409,448,91.3,596,644,92.5,118,153,77.1,0.2,0.5,-0.2,6,101,3,0,109,0,11,2,18.2,0.62,0.11,0,0,13.4,0,0,0,0.08,-0.8,-0.8,1269,1250,19,15,0,6,0,4,0,0,0,0,1133,0,4,21,1.18,18,0,0,2,0,1,2,0.11,2,0,0,0,0,0,1447,117,527,865,60,17,1447,2,2,100,0,0,906,4755,3101,24,17,0,6,6,989,6,0,13,4,0,0,26,0,0,0,129,48,31,60.8
"2022-2023","Feyenoord","Eredivisie","Oussama Idrissi","MAR","FW","26",17,1427,15.9,4,6,10,4,0,0,5,0,2.6,2.6,3.4,6,126,84,246,0.25,0.38,0.63,0.25,0.63,0.16,0.21,0.38,0.16,0.38,NA,15.9,38,27,12,15,11,14,38,36.8,24,19,0,19,3,41,5,0,717,888,80.7,12222,2312,367,422,87,263,312,84.3,73,106,68.9,3.4,5.1,2.6,42,24,46,7,84,4,39,23,59,2.46,1.45,0.1,0.17,20.4,1,0,0,0.07,1.4,1.4,888,801,87,6,1,11,70,58,23,8,2,0,717,0,19,96,6.05,70,9,10,4,1,2,11,0.69,9,1,1,0,0,0,1101,10,71,362,679,105,1101,86,39,45.3,33,38.4,733,5111,2900,126,69,50,37,25,791,246,0,23,12,5,70,27,0,0,0,83,5,6,45.5
"2022-2023","Feyenoord","Eredivisie","Igor Paixão","BRA","FW","22",15,1261,14,7,5,12,7,0,0,2,0,4,4,4.2,8.2,64,36,174,0.5,0.36,0.86,0.5,0.86,0.29,0.3,0.58,0.29,0.58,NA,14,12,9,1,7,4,5,12,41.7,7,15,1,14,9,21,11,0,343,465,73.8,5324,1010,188,217,86.6,117,161,72.7,23,48,47.9,4.2,4.9,0.8,32,12,23,10,36,7,33,18,54.5,2.36,1.28,0.21,0.39,14.4,1,0,0,0.12,3,3,465,451,14,4,1,1,57,8,2,0,1,0,343,0,14,59,4.21,42,1,5,6,4,1,9,0.64,7,0,1,1,0,0,674,16,57,216,409,80,674,56,20,35.7,29,51.8,452,2922,1615,64,34,30,48,21,489,174,0,6,20,2,57,9,0,0,0,57,25,26,49
"2022-2023","Feyenoord","Eredivisie","Danilo","BRA","FW","23",14,1336,14.8,10,3,13,9,1,1,0,0,10.2,9.4,1.5,10.9,8,22,83,0.67,0.2,0.88,0.61,0.81,0.68,0.1,0.79,0.63,0.73,NA,14.8,8,2,1,4,3,2,10,20,8,20,1,19,8,16,8,0,271,361,75.1,3290,486,165,202,81.7,68,83,81.9,7,12,58.3,1.5,1.2,1.5,22,12,3,0,22,10,63,25,39.7,4.24,1.68,0.14,0.36,14.2,1,1,1,0.15,-0.2,-0.4,361,331,26,0,1,2,1,1,0,0,0,0,271,4,14,44,2.96,32,0,3,3,4,2,5,0.34,4,0,0,1,0,0,545,10,45,208,299,106,544,27,12,44.4,14,51.9,278,1001,371,8,3,5,37,21,364,83,0,9,5,6,1,2,0,0,0,68,22,34,39.3
"2022-2023","Feyenoord","Eredivisie","Alireza Jahanbakhsh","IRN","FW","28",12,1221,13.6,5,7,12,5,0,0,2,0,3.2,3.2,5.4,8.6,57,66,166,0.37,0.52,0.88,0.37,0.88,0.24,0.39,0.63,0.24,0.63,NA,13.6,21,13,6,12,3,8,32,25,24,14,0,14,11,32,11,0,480,696,69,7977,2053,256,316,81,164,239,68.6,44,82,53.7,5.4,4,1.6,35,35,36,11,66,5,53,16,30.2,3.91,1.18,0.09,0.31,18.8,1,0,0,0.06,1.8,1.8,696,649,43,2,4,13,70,39,2,0,1,0,480,4,30,85,6.27,65,3,5,7,4,1,10,0.74,9,0,1,0,0,0,895,16,66,344,500,55,895,54,28,51.9,22,40.7,552,3174,1778,57,37,10,26,18,625,166,0,17,12,2,70,13,0,0,0,92,25,17,59.5
"2022-2023","Feyenoord","Eredivisie","Jacob Rasmussen","DEN","DF","25",8,663,7.4,1,1,2,1,0,0,0,0,0.4,0.4,0.2,0.6,9,56,1,0.14,0.14,0.27,0.14,0.27,0.06,0.02,0.08,0.06,0.08,NA,7.4,3,3,1,2,0,0,0,NA,0,10,4,6,8,11,27,1,526,595,88.4,9345,3332,211,232,90.9,275,296,92.9,33,56,58.9,0.2,0.3,0.8,4,37,1,0,56,1,2,1,50,0.27,0.14,0.5,1,7.4,0,0,0,0.21,0.6,0.6,595,573,22,15,0,0,0,5,0,0,0,0,526,0,1,8,1.09,8,0,0,0,0,0,1,0.14,1,0,0,0,0,0,659,56,235,396,33,9,659,1,1,100,0,0,398,2089,1251,9,6,0,4,0,458,1,0,1,1,0,0,3,0,0,0,50,20,7,74.1
"2022-2023","Feyenoord","Eredivisie","Marcos López","PER","DF","22",6,800,8.9,0,1,1,0,0,0,1,0,0.3,0.3,1.1,1.4,14,50,47,0,0.11,0.11,0,0.11,0.04,0.12,0.16,0.04,0.16,NA,8.9,26,13,8,17,1,14,18,77.8,4,12,2,10,23,49,27,0,439,540,81.3,7233,2318,228,257,88.7,160,197,81.2,39,55,70.9,1.1,1.1,-0.1,12,30,7,3,50,0,8,5,62.5,0.9,0.56,0,0,22.2,0,0,0,0.04,-0.3,-0.3,540,462,78,9,1,3,24,68,1,1,0,0,439,0,11,25,2.82,19,2,0,1,1,2,1,0.11,1,0,0,0,0,0,666,39,183,335,154,18,666,8,3,37.5,4,50,354,1784,825,14,14,2,10,7,379,47,0,7,19,1,24,13,0,0,0,66,24,5,82.8
"2022-2023","Feyenoord","Eredivisie","Patrik Wålemark","SWE","FW,MF","20",4,592,6.6,2,2,4,2,0,0,1,0,1.7,1.7,1.8,3.6,36,19,91,0.3,0.3,0.61,0.3,0.61,0.26,0.28,0.54,0.26,0.54,NA,6.6,17,8,4,6,7,7,8,87.5,1,8,0,8,1,18,3,0,129,187,69,2062,546,68,88,77.3,48,62,77.4,10,19,52.6,1.8,2.8,0.2,13,2,19,8,19,2,25,11,44,3.8,1.67,0.08,0.18,17.1,0,0,0,0.07,0.3,0.3,187,179,8,0,0,0,34,2,6,1,2,0,129,0,14,32,4.86,20,2,2,5,3,0,4,0.61,2,0,0,0,2,0,296,5,23,68,206,44,296,30,9,30,14,46.7,189,1533,921,36,13,24,14,8,201,91,0,5,13,2,34,8,1,0,1,22,5,3,62.5
"2022-2023","Feyenoord","Eredivisie","Fredrik Aursnes","NOR","MF","26",2,180,2,0,0,0,0,0,0,0,0,0.1,0.1,0.9,1,4,26,5,0,0,0,0,0,0.03,0.45,0.48,0.03,0.48,NA,2,2,1,2,0,0,1,2,50,1,4,2,2,2,4,0,0,151,176,85.8,2836,1002,54,58,93.1,73,83,88,18,28,64.3,0.9,0.5,-0.9,5,25,5,1,26,0,2,1,50,1,0.5,0,0,19.4,0,0,0,0.03,-0.1,-0.1,176,170,6,3,1,0,5,1,2,0,1,0,151,0,1,10,5,10,0,0,0,0,0,2,1,2,0,0,0,0,0,192,3,30,118,46,3,192,2,2,100,0,0,100,600,300,4,7,0,1,0,145,5,0,1,0,0,5,1,0,0,0,16,3,5,37.5
"2022-2023","Feyenoord","Eredivisie","Neraysho Kasanwirjo","NED","DF","20",1,143,1.6,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,2,9,4,0,0,0,0,0,0.08,0.13,0.21,0.08,0.21,NA,1.6,4,2,3,1,0,3,4,75,1,1,1,0,1,5,6,0,110,123,89.4,2050,756,39,44,88.6,59,62,95.2,11,11,100,0.2,0.4,-0.2,4,16,1,1,9,0,2,1,50,1.26,0.63,0,0,17,0,0,0,0.06,-0.1,-0.1,123,111,12,2,0,0,2,10,0,0,0,0,110,0,1,5,3.12,5,0,0,0,0,0,1,0.62,1,0,0,0,0,0,143,7,44,82,18,4,143,1,0,0,0,0,86,406,194,2,0,1,0,4,100,4,0,1,1,0,2,2,0,0,0,8,2,3,40
"2022-2023","Feyenoord","Eredivisie","Fredrik André Bjørkan","NOR","DF","23",1,68,0.8,0,0,0,0,0,0,0,0,0,0,0.2,0.2,1,4,9,0,0,0,0,0,0.05,0.21,0.26,0.05,0.26,NA,0.8,2,0,1,0,1,1,2,50,1,1,1,0,0,2,2,0,41,52,78.8,545,110,24,27,88.9,17,20,85,0,1,0,0.2,0.1,-0.2,1,2,3,0,4,0,1,0,0,1.32,0,0,NA,21.3,0,0,0,0.04,0,0,52,41,11,0,0,0,2,11,0,0,0,0,41,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,1,11,24,27,2,62,1,0,0,1,100,18,130,59,1,1,0,1,0,37,9,0,2,0,0,2,0,0,0,0,5,0,1,0
"2022-2023","Feyenoord","Eredivisie","Ezequiel Bullaude","ARG","MF,FW","21",0,152,1.7,0,1,1,0,0,0,0,0,0.7,0.7,0.3,1,2,6,13,0,0.59,0.59,0,0.59,0.4,0.18,0.58,0.4,0.58,NA,1.7,1,1,0,1,0,0,4,0,4,4,0,4,0,1,1,0,56,62,90.3,722,144,37,38,97.4,10,11,90.9,4,4,100,0.3,0.2,0.7,5,6,2,0,6,0,7,2,28.6,4.14,1.18,0,0,12.8,0,0,0,0.1,-0.7,-0.7,62,61,1,1,0,0,0,0,0,0,0,0,56,0,2,8,4.71,6,0,0,1,1,0,1,0.59,1,0,0,0,0,0,90,1,6,44,41,12,90,8,5,62.5,3,37.5,56,282,96,2,2,0,2,6,60,13,0,0,3,0,0,1,0,0,0,13,4,7,36.4
"2022-2023","Feyenoord","Eredivisie","Mohamed Taabouni","NED","MF","20",0,102,1.1,0,0,0,0,0,0,0,0,0.2,0.2,0.5,0.7,5,5,6,0,0,0,0,0,0.14,0.45,0.6,0.14,0.6,NA,1.1,2,1,1,1,0,0,0,NA,0,1,0,1,1,3,2,0,51,65,78.5,824,240,25,27,92.6,24,29,82.8,2,5,40,0.5,0.8,-0.5,3,3,2,2,5,0,2,0,0,1.76,0,0,NA,15.4,0,0,0,0.08,-0.2,-0.2,65,60,4,2,1,0,5,0,2,0,2,0,51,1,3,11,9.71,10,0,0,1,0,0,0,0,0,0,0,0,0,0,91,2,17,46,29,4,91,5,2,40,2,40,62,471,203,5,5,1,5,3,60,6,0,3,4,0,5,1,0,0,0,8,0,0,NA
"2022-2023","Feyenoord","Eredivisie","Jens Toornstra","NED","MF,DF","33",0,77,0.9,0,1,1,0,0,0,0,0,0.3,0.3,0.4,0.7,2,7,1,0,1.17,1.17,0,1.17,0.38,0.49,0.87,0.38,0.87,NA,0.9,2,1,1,1,0,1,1,100,0,0,0,0,0,2,1,0,41,51,80.4,802,218,16,17,94.1,22,26,84.6,3,7,42.9,0.4,0.3,0.6,2,3,2,0,7,0,2,2,100,2.34,2.34,0,0,18.9,0,0,0,0.16,-0.3,-0.3,51,48,3,0,1,1,1,1,2,1,0,0,41,0,1,4,4.68,3,1,0,0,0,0,2,2.34,2,0,0,0,0,0,61,1,10,32,20,2,61,2,0,0,2,100,40,180,73,2,1,0,2,0,40,1,0,1,0,0,1,1,0,0,0,8,0,1,0
"2022-2023","Feyenoord","Eredivisie","Mimeirhel Benita","NED","DF","18",0,51,0.6,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,0,0,0,0,0,0,0,0,0,0,NA,0.6,4,1,3,1,0,3,3,100,0,0,0,0,1,5,0,0,29,40,72.5,565,184,9,11,81.8,16,19,84.2,4,7,57.1,0,0,0,0,2,0,0,4,0,0,0,NA,0,0,NA,NA,NA,0,0,0,NA,0,0,40,32,8,0,0,0,2,8,0,0,0,0,29,0,2,1,1.76,0,0,0,0,0,1,0,0,0,0,0,0,0,0,45,2,10,24,11,1,45,1,1,100,0,0,11,96,59,1,0,1,0,1,18,4,0,1,0,0,2,1,0,0,0,7,1,1,50
"2022-2023","Feyenoord","Eredivisie","Antoni Milambo","NED","MF","14",0,19,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.19,0,0.19,0.19,0.19,NA,0.2,1,0,0,1,0,0,0,NA,0,0,0,0,0,1,0,0,10,12,83.3,166,42,4,4,100,5,6,83.3,1,1,100,0,0,0,0,0,0,0,1,0,1,1,100,4.74,4.74,0,0,22.9,0,0,0,0.04,0,0,12,12,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,2,10,5,1,17,1,0,0,1,100,10,46,24,0,0,0,1,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,NA
"2022-2023","Feyenoord","Eredivisie","Noah Naujoks","NED","FW,MF","20",0,17,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,NA,0.2,1,1,0,1,0,0,0,NA,0,0,0,0,0,1,0,0,3,4,75,69,13,1,2,50,1,1,100,1,1,100,0,0,0,0,1,0,0,1,0,0,0,NA,0,0,NA,NA,NA,0,0,0,NA,0,0,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,2,0,6,1,0,0,1,100,3,17,1,0,0,0,1,2,4,2,0,1,0,0,0,1,0,0,0,2,0,0,NA
"2022-2023","Feyenoord","Eredivisie","Cole Bassett","USA","FW","21",0,7,0.1,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0,1,0,0,0,0,0,0,2.19,0,2.19,2.19,2.19,NA,0.1,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,4,4,100,82,42,3,3,100,0,0,NA,1,1,100,0,0,0,0,1,0,0,1,0,1,0,0,12.86,0,0,NA,15.5,0,0,0,0.17,-0.2,-0.2,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,2,1,5,0,0,NA,0,NA,3,15,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"2022-2023","PSV Eindhoven","Eredivisie","Xavi Simons","NED","FW,MF","19",34,2803,31.1,19,8,27,17,2,2,2,0,14.9,13.3,7.4,20.7,148,150,247,0.61,0.26,0.87,0.55,0.8,0.48,0.24,0.72,0.43,0.66,NA,31.1,48,25,15,16,17,20,38,52.6,18,37,4,33,11,59,12,0,911,1134,80.3,14006,3259,460,543,84.7,322,391,82.4,72,96,75,7.4,6.6,0.6,60,72,58,5,150,19,91,37,40.7,2.92,1.19,0.19,0.46,17.3,0,2,2,0.15,4.1,3.7,1134,1070,57,3,9,10,32,5,4,2,0,0,911,7,19,166,5.33,118,1,17,15,14,1,33,1.06,16,1,5,5,5,1,1619,10,154,689,819,143,1617,149,74,49.7,54,36.2,1015,8090,4446,148,111,52,122,57,1193,247,0,36,78,3,32,25,4,0,0,155,37,43,46.3
"2022-2023","PSV Eindhoven","Eredivisie","Joey Veerman","NED","MF","23",30,2481,27.6,4,10,14,4,0,0,1,0,3.7,3.7,10,13.7,49,309,64,0.15,0.36,0.51,0.15,0.51,0.14,0.36,0.5,0.14,0.5,NA,27.6,52,29,21,24,7,30,70,42.9,40,46,9,37,28,80,36,1,1589,1987,80,32027,11130,593,664,89.3,676,784,86.2,289,464,62.3,10,10.2,0,100,271,68,10,309,4,58,22,37.9,2.1,0.8,0.07,0.18,22.6,3,0,0,0.06,0.3,0.3,1987,1794,183,63,9,28,150,11,107,43,45,0,1589,10,19,171,6.21,107,46,6,8,0,4,18,0.65,13,3,0,1,0,1,2282,60,373,1276,655,41,2282,44,31,70.5,11,25,1311,6342,2730,49,53,11,22,19,1565,64,0,20,13,2,150,29,0,1,0,225,23,15,60.5
"2022-2023","PSV Eindhoven","Eredivisie","Ibrahim Sangaré","CIV","MF","24",26,2303,25.6,5,1,6,5,0,0,5,0,4,4,2.4,6.5,32,194,37,0.2,0.04,0.23,0.2,0.23,0.16,0.09,0.25,0.16,0.25,NA,25.6,68,34,32,30,6,23,40,57.5,17,38,11,27,22,90,48,1,1302,1555,83.7,22325,7344,575,660,87.1,570,643,88.6,113,166,68.1,2.4,3.1,-1.4,25,161,22,4,194,5,38,12,31.6,1.49,0.47,0.13,0.42,18.4,0,0,0,0.11,1,1,1555,1506,46,35,10,7,15,11,0,0,0,0,1302,3,19,64,2.5,56,0,2,6,0,0,4,0.16,4,0,0,0,0,0,1885,92,435,1101,378,47,1885,48,34,70.8,10,20.8,989,4756,2104,32,44,2,44,41,1217,37,0,34,26,2,15,34,0,0,2,248,40,24,62.5
