Player,Nation,Pos,Age,Born,Squad,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,FW,MF,DF,Player + Squad,Cluster
Yunus Musah,USA,MF,19.0,2004.0,Valencia,-2.0966242159377955,-0.7791897867298727,-1.7058130716010376,-1.4535133479471574,-0.5254678207915522,-1.5669576902218294,1.7974651621074202,-0.9945909109081223,-1.7420417173629126,-0.34346580966401574,-0.8026348467652727,0.5467343839043811,0.12773262145641864,-0.6357517538334736,0.3418722416286918,-0.28049509666112443,-0.9016815753767735,0.7479167563330198,0.35211272044420533,-0.6794954800660766,1.4655671614615104,1.053208329066718,-1.2241570096946417,-0.028172110921094937,0.4580184247850713,-0.49531974204672313,-0.04523616285405332,0.6745790569355433,0.3578724174328713,-0.2794174804756637,0.25932809509624094,-0.4654036460286251,0.15851535867864744,1.0072025037209498,-0.35481999702976347,-0.5727971277027631,0.5184023319621194,0.3005342539417592,0.6164483265588511,-0.3705617992258353,-0.07433885607004022,-0.1294463019678809,0,3,0,Yunus Musah in Valencia,4.0
Matheus Costa,BRA,DF,27.0,1996.0,Marítimo,5.007020675934371,-5.352971976975978,0.2739614427962494,0.7822504073096116,-0.5597966234962279,1.29742638335591,0.7779323525891101,1.0839902394616505,1.43934416900917,0.4383720086874517,0.06465630511242788,-0.26859735820763697,-0.06956371291345208,-0.6415441874062571,3.2336048075798614,0.3025862962358928,1.3910394115261073,2.1006128682818233,1.9621506951625107,-0.5457585945273883,0.2619937088592348,0.01867789629702974,-0.01384997161076446,-0.14851992486269577,0.45884407375190134,-0.5981451053405679,-0.05163097586498033,-0.24111587530702658,0.3597240962970009,-0.3448265896115487,-0.4487259129945959,0.7347168155109111,0.5517395126270086,-0.12002954824778136,-0.33753221211525736,-0.4175142128110175,-0.14653684016916044,-0.458495133199765,0.13456541683324175,-0.20564770605454966,-0.37518548764167703,-0.517668365186136,0,0,3,Matheus Costa in Marítimo,0.0
Carlos,BRA,DF,23.0,2000.0,Monza,1.2427280774041676,0.58841291296865,0.3025847778013931,-0.6084647757892747,-1.6063555824485942,-3.7299107573197343,-1.835440303439919,0.19991288625014628,-0.08466859764613126,-0.5349325925881041,-0.6229722651270767,-0.35746765939962716,-0.2563772197305777,-0.1326086159156762,-0.9152692989073844,-0.11030983176798777,-0.020948394013970733,0.45922586093091383,0.2061740681745769,-0.3781041764726579,0.2653453209870558,0.5809697354714052,0.014642409713888286,-0.611107633522392,0.3754304489093696,0.12378953974779128,0.28055152110553394,0.10858890233875222,-0.08390557434133833,1.2558064919598009,0.2745391159522185,0.0497465961235812,-0.1466219720841352,-0.07786817622399941,0.25695876721039357,-0.8260942375327032,0.41345465880915805,-0.23027885276383123,0.1747380985313503,0.27577965755941775,-0.026511910146407424,0.0745213896978386,0,0,3,Carlos in Monza,0.0
Leny Yoro,FRA,DF,16.0,2007.0,Lille,8.562186434792286,-1.9826508263989382,2.504226559130549,-1.4086875974939868,-1.6862373804434034,3.424524869799053,0.6912520456528953,0.33636366827355657,-0.5210294276722723,-0.6499233906268141,0.2914151396325855,-2.025137151124212,-0.1560363743688548,0.007019204826020748,-0.40029222773977385,-0.9993792028556265,-0.9904648683177295,0.7782811557611208,-0.4167320492311704,0.018423906431089414,0.9117859394587936,-0.08463525142283901,0.022494603911218575,0.03625246611235508,-0.7038646926468065,1.0428857851246935,-0.4070121533461967,-0.4251506339658695,-0.35414267706307095,-0.49075815632578124,0.16643979849339677,-0.3776624106031013,-0.3300315345018966,-0.8656637155549949,-0.5371727725343263,1.3204322766184107,-1.2541696470399808,-0.2876020848967631,0.9842179546055727,-0.47531924853706714,-0.5083980396950447,0.8901272808065082,0,0,3,Leny Yoro in Lille,0.0
Steve Mounié,BEN,FW,27.0,1996.0,Brest,-6.568222804779343,-6.181401347151051,2.9713365564087675,-0.8689218057198813,2.4920125389810037,0.8435668175684959,-3.0890267366353736,1.49877186566494,0.7484526678163768,-1.9433412038935487,-4.131141165350991,1.3552683930538225,1.1711051859699675,-1.4807392981296572,0.41126276174061543,0.06412248874915527,-0.7212689586306693,0.2880008044978232,-1.4320708898970806,-0.6027287726754421,0.14822582801608697,-0.8991991929242004,-0.22318735807607581,1.6297550032442067,-0.32311203535948674,-0.5452244828632828,0.6240317990325148,-0.792736821198845,1.5056101717007415,0.33738184485355444,0.40837483280463055,-0.30935637727291126,-0.5669621616774703,0.8981802138702821,-0.4169913928094246,-0.6268870276895683,0.5940258721266377,-0.5164502179329472,0.3865392130458658,0.1624016661017322,-0.02486846379321829,-0.1730218462141797,3,0,0,Steve Mounié in Brest,1.0
Simon Banza,FRA,FW,25.0,1998.0,Braga,-9.189453075288336,-4.937607941537312,1.588623914009562,-1.3824868033779036,2.1933197486340696,0.6071604467082984,-1.194703031232596,1.5630334334425924,-0.391342515912985,1.1896196535502566,-2.7651976613379134,0.07741064212184404,-0.5652763255155331,-0.7905644856572756,0.1600102383944505,-0.7452729340361033,0.477966860656918,-0.5813510990296926,0.5823490603706217,0.463910421906272,0.9037689303210805,1.190797336012345,0.3347485012834504,-1.4052956602815572,0.24325573092063688,0.1544094241107625,0.0790396962127412,0.39082421225734365,-0.4176756057113065,-0.29871994397225543,1.2054121638940114,-0.10697718888962549,-1.6159043362464653,-0.9418807196656689,0.1632135012218207,-0.5863046827710029,-0.08870931303787355,-0.42502558828526693,-0.47293825860613636,-0.2591484128880922,-0.2726929931009882,-0.1240237798208094,3,0,0,Simon Banza in Braga,1.0
Christopher Lenz,GER,DF,27.0,1996.0,Eint Frankfurt,2.6731817475255673,5.527084020924172,-2.074526288382574,5.349344678540038,-0.9224137492189566,0.9081904670383711,-1.3725707467452253,0.6725172792802077,1.0977788677293108,-0.016061231909005783,-0.6790228606491979,-0.6405519967420522,-0.4810233831434998,-0.6373780229096164,-0.0825912085809905,-0.7769418766679126,0.40458503051788625,-0.7453914679013487,-0.4431595726391271,-0.654315067777916,0.2690412070918627,-1.2512749953259898,-0.35466917691978916,-0.17486318509338084,0.4084279769566573,0.480693727992335,0.08272547224853367,0.07767841020069692,0.05235611424124967,-0.3575517385151529,0.13163744556657167,0.21033047126409946,-1.1656764688976513,-0.7679996923132995,-0.692065437157639,0.19293273472569297,-0.014926606759000392,-0.3420676150122899,-0.04577721770537175,0.23545051504455194,-0.3670814208203203,-0.2419044196279255,0,0,3,Christopher Lenz in Eint Frankfurt,3.0
Matheus Henrique,BRA,MF,24.0,1999.0,Sassuolo,-0.8461438812274816,-0.18745182179560865,1.1339598847656924,-0.8234096101090582,0.20021880585200555,-0.5012570741102637,0.6171424383942734,-2.750799231551754,-1.1979122126451982,-0.09281125131338791,0.585278051703799,-0.2420003910106102,0.6637902160932634,0.3045319058155284,0.16382682963774162,0.018184209117205297,0.18514392090153178,-0.26136073664088144,-0.08559480679441343,-0.40944767270684673,0.24424299238954042,0.356721528721489,-0.22422973055481804,-0.5012549370723013,-0.3926932780202277,-1.019769371273722,1.0265095731594007,-0.629924020186052,-0.02489976213800119,-0.4808406856748178,0.90633646614155,0.20048996251466275,-0.3457518038001056,0.32512717621364945,0.007641989222519946,-0.4861647929399329,0.7339153408415876,0.14241070913703063,-0.5846016029860326,0.12316400110307714,-0.25182141799845786,-0.13889396807267443,0,3,0,Matheus Henrique in Sassuolo,5.0
Enes Ünal,TUR,FW,25.0,1998.0,Getafe,-7.5521739018939575,-4.845886035533748,3.8146047527228375,1.0837725929878805,3.736238390803024,-1.6671444338707242,-1.6884227862931762,2.9767943055319694,-4.102423416384868,0.42629080407473546,-0.0019088128883627785,1.3087908298330757,-0.46906323500929425,-2.8676080976173024,0.4543223866344632,-0.6062673785863046,-0.00451890618509298,-0.2768654678251711,0.19561579698155868,-0.8513663082505527,-0.23824794249591102,0.7471949245349989,1.2801170910534951,0.36768416522340047,-0.03945790001700184,0.6042303747878964,-0.9688387043348715,0.12549994670445258,2.345154740385203,1.7547022660152478,0.5656970525383935,-0.4134687023060112,2.057738485342244,1.1680389129049822,0.1916948245322933,0.3779818013055965,-0.6888939056896116,0.3610776898624099,-0.09281911823082084,0.2420670133760313,0.05011875099161937,-0.0760939633098067,3,0,0,Enes Ünal in Getafe,1.0
Marcos Senesi,ARG,DF,25.0,1998.0,Bournemouth,6.330759286406774,-3.828227803522762,0.9685827133444024,0.8333216886559613,-0.16091951530010568,-1.6631501096928756,1.6631056439886343,1.0248323343550385,1.2625371534597531,0.03061043759634275,0.724330015805909,1.0732263083835571,-0.4475404415060874,0.2714605789817071,-0.5672307033625249,0.634635285807462,-1.4117037578864293,-0.3269631409725776,0.7030812182888284,0.26182072740366186,-0.3445089250481143,-0.21167449797373245,0.29882557507106716,-0.8450317741915024,0.39521857640837593,-0.021931101077490973,-0.8170719923224137,0.39356108189147215,-0.3960535519513512,-0.0356594416656781,-0.43703159220309473,0.09051036337926871,0.3117905455943334,-0.43593961219832633,0.19144852309843413,-0.35760291426152674,0.10857359911583829,0.15932556411842913,-0.2740038974631692,-0.1607685274948224,0.48438847008190883,-0.056966637153831025,0,0,3,Marcos Senesi in Bournemouth,0.0
