"Season","Squad","Comp","Player","Nation","Pos","Age","MP","Starts_Playing_Time","Min_Playing_Time","Mins_Per_90_Playing_Time","Gls","Ast","G+A","G_minus_PK","PK","PKatt","CrdY","CrdR","xG_Expected","npxG_Expected","xAG_Expected","npxG+xAG_Expected","PrgC_Progression","PrgP_Progression","PrgR_Progression","Gls_Per_Minutes","Ast_Per_Minutes","G+A_Per_Minutes","G_minus_PK_Per_Minutes","G+A_minus_PK_Per_Minutes","xG_Per_Minutes","xAG_Per_Minutes","xG+xAG_Per_Minutes","npxG_Per_Minutes","npxG+xAG_Per_Minutes","Mins_Per_90","Tkl_Tackles","TklW_Tackles","Def 3rd_Tackles","Mid 3rd_Tackles","Att 3rd_Tackles","Tkl_Challenges","Att_Challenges","Tkl_percent_Challenges","Lost_Challenges","Blocks_Blocks","Sh_Blocks","Pass_Blocks","Int","Tkl+Int","Clr","Err","Cmp_Total","Att_Total","Cmp_percent_Total","TotDist_Total","PrgDist_Total","Cmp_Short","Att_Short","Cmp_percent_Short","Cmp_Medium","Att_Medium","Cmp_percent_Medium","Cmp_Long","Att_Long","Cmp_percent_Long","xAG","xA","A_minus_xAG","KP","Final_Third","PPA","CrsPA","PrgP","Gls_Standard","Sh_Standard","SoT_Standard","SoT_percent_Standard","Sh_per_90_Standard","SoT_per_90_Standard","G_per_Sh_Standard","G_per_SoT_Standard","Dist_Standard","FK_Standard","PK_Standard","PKatt_Standard","npxG_per_Sh_Expected","G_minus_xG_Expected","np:G_minus_xG_Expected","Att","Live_Pass_Types","Dead_Pass_Types","FK_Pass_Types","TB_Pass_Types","Sw_Pass_Types","Crs_Pass_Types","TI_Pass_Types","CK_Pass_Types","In_Corner_Kicks","Out_Corner_Kicks","Str_Corner_Kicks","Cmp_Outcomes","Off_Outcomes","Blocks_Outcomes","SCA_SCA","SCA90_SCA","PassLive_SCA_Types","PassDead_SCA_Types","TO_SCA_Types","Sh_SCA_Types","Fld_SCA_Types","Def_SCA_Types","GCA_GCA","GCA90_GCA","PassLive_GCA_Types","PassDead_GCA_Types","TO_GCA_Types","Sh_GCA_Types","Fld_GCA_Types","Def_GCA_Types","Touches_Touches","Def Pen_Touches","Def 3rd_Touches","Mid 3rd_Touches","Att 3rd_Touches","Att Pen_Touches","Live_Touches","Att_Take_Ons","Succ_Take_Ons","Succ_percent_Take_Ons","Tkld_Take_Ons","Tkld_percent_Take_Ons","Carries_Carries","TotDist_Carries","PrgDist_Carries","PrgC_Carries","Final_Third_Carries","CPA_Carries","Mis_Carries","Dis_Carries","Rec_Receiving","PrgR_Receiving","2CrdY","Fls","Fld","Off","Crs","TklW","PKwon","PKcon","OG","Recov","Won_Aerial_Duels","Lost_Aerial_Duels","Won_percent_Aerial_Duels"
"2022-2023","Benfica","Primeira Liga","Álex Grimaldo","ESP","DF","26",33,33,2941,32.7,5,9,14,3,2,2,5,0,3.9,2.3,12.6,14.9,102,194,400,0.15,0.28,0.43,0.09,0.37,0.12,0.39,0.5,0.07,0.46,32.7,74,46,26,31,17,50,89,56.2,39,27,1,26,40,114,26,0,2045,2513,81.4,30038,8796,1184,1287,92,657,801,82,118,221,53.4,12.6,10.6,-3.6,74,106,92,35,194,5,38,16,42.1,1.16,0.49,0.08,0.19,26.1,17,2,2,0.06,1.1,0.7,2513,2113,387,59,11,11,217,301,27,8,14,0,2045,13,64,121,3.7,105,9,0,6,1,0,18,0.55,15,1,0,1,1,0,2813,50,526,1079,1231,68,2811,77,36,46.8,36,46.8,1527,7229,4094,102,69,11,34,18,1904,400,0,20,31,7,217,46,1,0,0,193,19,21,47.5
"2022-2023","Benfica","Primeira Liga","João Mário","POR","FW","29",33,33,2643,29.4,17,7,24,10,7,10,6,1,18.5,10.6,7.4,18,81,179,248,0.58,0.24,0.82,0.34,0.58,0.63,0.25,0.88,0.36,0.61,29.4,45,28,9,26,10,17,49,34.7,32,40,1,39,11,56,12,0,1314,1585,82.9,17908,5114,774,841,92,377,447,84.3,68,137,49.6,7.4,9.7,-0.4,54,87,63,18,179,17,66,22,33.3,2.25,0.75,0.15,0.45,19.3,1,7,10,0.16,-1.5,-0.6,1585,1463,113,26,5,7,114,33,54,18,12,1,1314,9,38,135,4.6,103,10,5,7,9,1,16,0.55,14,0,1,1,0,0,1929,15,161,715,1079,107,1919,82,32,39,31,37.8,1168,6070,2802,81,63,14,54,34,1450,248,1,45,52,6,114,28,1,0,0,194,13,20,39.4
"2022-2023","Benfica","Primeira Liga","Nicolás Otamendi","ARG","DF","34",31,31,2773,30.8,1,0,1,1,0,0,11,1,2.3,2.3,0.4,2.8,25,156,7,0.03,0,0.03,0.03,0.03,0.08,0.01,0.09,0.08,0.09,30.8,67,48,32,31,4,48,67,71.6,19,32,11,21,66,133,92,1,2034,2254,90.2,40011,14606,675,733,92.1,1065,1127,94.5,258,332,77.7,0.4,0.7,-0.4,6,158,2,0,156,1,31,9,29,1.01,0.29,0.03,0.11,10,0,0,0,0.08,-1.3,-1.3,2254,2191,61,53,2,18,2,8,0,0,0,0,2034,2,11,31,1.01,21,1,0,6,1,2,2,0.06,1,1,0,0,0,0,2589,211,1085,1387,130,47,2589,15,7,46.7,6,40,1549,7611,4194,25,22,1,18,4,1825,7,1,32,24,0,2,48,0,1,0,221,90,43,67.7
"2022-2023","Benfica","Primeira Liga","António Silva","POR","DF","18",30,30,2692,29.9,3,0,3,3,0,0,5,0,4.1,3.9,0.4,4.3,27,120,3,0.1,0,0.1,0.1,0.1,0.14,0.01,0.15,0.13,0.14,29.9,57,30,36,20,1,38,55,69.1,17,23,13,10,38,95,89,2,1770,1937,91.4,35135,12317,541,580,93.3,1001,1040,96.3,206,282,73,0.4,0.7,-0.4,5,157,2,0,120,3,18,7,38.9,0.6,0.23,0.17,0.43,7.8,0,0,0,0.22,-1.1,-0.9,1937,1892,44,34,4,14,3,9,0,0,0,0,1770,1,8,19,0.63,17,0,0,0,2,0,4,0.13,4,0,0,0,0,0,2214,230,1006,1158,69,24,2214,14,6,42.9,4,28.6,1396,7433,4591,27,19,1,16,3,1595,3,0,38,10,5,3,30,0,1,0,216,46,29,61.3
"2022-2023","Benfica","Primeira Liga","Gonçalo Ramos","POR","FW","21",30,30,2282,25.4,19,2,21,19,0,0,4,1,20.3,20.3,2.4,22.7,30,31,125,0.75,0.08,0.83,0.75,0.83,0.8,0.09,0.9,0.8,0.9,25.4,20,12,3,10,7,7,22,31.8,15,10,3,7,3,23,35,0,324,454,71.4,3968,782,203,272,74.6,83,104,79.8,9,12,75,2.4,3.5,-0.4,17,10,9,0,31,19,98,37,37.8,3.87,1.46,0.19,0.51,11,0,0,0,0.21,-1.3,-1.3,454,425,25,1,1,0,4,3,0,0,0,0,324,4,16,46,1.81,23,0,7,9,6,1,8,0.32,3,0,2,2,1,0,759,41,81,275,406,160,759,45,19,42.2,20,44.4,375,1572,676,30,14,15,54,26,532,125,1,50,43,14,4,12,1,0,0,71,65,66,49.6
"2022-2023","Benfica","Primeira Liga","Rafa Silva","POR","MF,FW","29",28,26,2174,24.2,8,4,12,8,0,0,6,0,11.8,11,5.9,16.9,99,126,239,0.33,0.17,0.5,0.33,0.5,0.49,0.24,0.73,0.46,0.7,24.2,16,9,1,8,7,7,21,33.3,14,17,0,17,2,18,1,0,603,783,77,8304,1902,362,421,86,178,218,81.7,27,38,71.1,5.9,4.3,-1.9,38,59,38,1,126,8,68,22,32.4,2.82,0.91,0.12,0.36,15.3,0,0,0,0.16,-3.8,-3,783,751,27,4,7,4,24,3,0,0,0,0,603,5,44,113,4.67,73,0,18,7,13,2,18,0.74,11,0,2,2,3,0,1109,0,39,339,756,178,1109,134,51,38.1,62,46.3,713,5507,2749,99,65,42,75,43,902,239,0,18,65,16,24,9,3,0,0,97,9,20,31
"2022-2023","Benfica","Primeira Liga","Florentino Luís","POR","MF","22",33,25,2120,23.6,0,3,3,0,0,0,5,0,1.3,1.3,1.7,3,11,165,30,0,0.13,0.13,0,0.13,0.05,0.07,0.13,0.05,0.13,23.6,82,45,29,37,16,46,66,69.7,20,26,1,25,63,145,27,0,1665,1856,89.7,26510,7780,856,909,94.2,613,659,93,129,178,72.5,1.7,1.5,1.3,17,228,16,1,165,0,12,3,25,0.51,0.13,0,0,14.5,0,0,0,0.11,-1.3,-1.3,1856,1816,34,30,1,20,3,4,0,0,0,0,1665,6,20,37,1.57,29,1,1,3,1,2,5,0.21,5,0,0,0,0,0,2130,52,346,1418,382,19,2130,22,13,59.1,5,22.7,1202,4284,1763,11,22,0,23,13,1558,30,0,33,7,1,3,45,0,0,0,165,36,23,61
"2022-2023","Benfica","Primeira Liga","Fredrik Aursnes","NOR","FW,MF","26",28,24,2155,23.9,2,4,6,2,0,1,5,0,4.2,3.4,3.1,6.5,48,202,135,0.08,0.17,0.25,0.08,0.25,0.17,0.13,0.31,0.14,0.27,23.9,41,29,14,20,7,27,52,51.9,25,18,1,17,32,73,14,0,1410,1657,85.1,23290,6684,686,748,91.7,522,594,87.9,137,200,68.5,3.1,3.6,0.9,27,161,34,5,202,2,22,9,40.9,0.92,0.38,0.09,0.22,16.1,0,0,1,0.15,-2.2,-1.4,1657,1568,85,19,4,9,37,57,9,1,6,0,1410,4,25,75,3.13,62,5,0,5,3,0,9,0.38,8,0,0,1,0,0,1867,26,263,985,627,57,1866,36,17,47.2,16,44.4,1056,4546,2285,48,39,7,26,17,1394,135,0,25,10,8,37,29,1,0,0,157,21,23,47.7
"2022-2023","Benfica","Primeira Liga","David Neres","BRA","FW,MF","25",31,22,1959,21.8,6,8,14,6,0,0,2,0,5.4,5.4,7.7,13.1,94,107,211,0.28,0.37,0.64,0.28,0.64,0.25,0.36,0.61,0.25,0.61,21.8,21,8,5,10,6,10,27,37,17,11,0,11,3,24,1,0,861,1114,77.3,11910,2936,502,572,87.8,245,301,81.4,47,103,45.6,7.7,8.1,0.3,49,60,53,18,107,6,50,19,38,2.3,0.87,0.12,0.32,17.8,1,0,0,0.11,0.6,0.6,1114,1013,94,8,8,2,118,7,76,27,2,2,861,7,33,104,4.79,73,10,13,8,0,0,15,0.69,12,0,2,1,0,0,1370,2,52,472,864,122,1370,115,57,49.6,53,46.1,838,5354,2529,94,66,33,57,31,1091,211,0,25,24,5,118,8,0,0,0,96,4,13,23.5
"2022-2023","Benfica","Primeira Liga","Alexander Bah","DEN","DF","24",28,21,1879,20.9,1,4,5,1,0,0,1,0,0.4,0.4,5.4,5.8,59,118,163,0.05,0.19,0.24,0.05,0.24,0.02,0.26,0.28,0.02,0.28,20.9,59,34,25,28,6,28,47,59.6,19,33,5,28,36,95,29,1,1230,1561,78.8,20497,7421,578,668,86.5,517,627,82.5,97,172,56.4,5.4,4.2,-1.4,32,107,47,22,118,1,9,2,22.2,0.43,0.1,0.11,0.5,22.8,0,0,0,0.05,0.6,0.6,1561,1310,245,27,2,3,85,217,1,0,0,0,1230,6,31,65,3.11,54,4,2,0,3,2,7,0.34,6,0,0,0,1,0,1812,51,363,826,634,27,1812,37,9,24.3,17,45.9,849,4058,2136,59,43,6,27,9,1117,163,0,33,39,1,85,34,2,0,1,118,36,32,52.9
"2022-2023","Benfica","Primeira Liga","Enzo Fernández","ARG","MF","21",17,17,1382,15.4,1,5,6,1,0,0,3,0,2.1,2.1,3.7,5.7,29,183,27,0.07,0.33,0.39,0.07,0.39,0.14,0.24,0.37,0.14,0.37,15.4,40,17,15,19,6,23,44,52.3,21,16,3,13,15,55,3,2,1446,1679,86.1,27839,8003,623,683,91.2,531,592,89.7,254,326,77.9,3.7,5.2,1.3,30,184,31,5,183,1,29,3,10.3,1.89,0.2,0.03,0.33,24.6,5,0,0,0.07,-1.1,-1.1,1679,1589,83,38,11,34,39,4,41,7,7,0,1446,7,22,68,4.42,55,10,0,1,2,0,11,0.72,10,1,0,0,0,0,1820,17,300,1156,372,18,1820,18,10,55.6,6,33.3,1103,4691,2353,29,33,2,15,15,1475,27,0,18,16,1,39,17,0,0,0,93,9,14,39.1
"2022-2023","Benfica","Primeira Liga","Chiquinho","POR","MF","27",25,14,1371,15.2,1,0,1,1,0,0,2,0,1.2,1.2,2.1,3.3,24,134,32,0.07,0,0.07,0.07,0.07,0.08,0.14,0.22,0.08,0.22,15.2,46,26,13,28,5,22,35,62.9,13,15,1,14,16,62,5,0,982,1126,87.2,17327,5619,450,477,94.3,387,422,91.7,111,168,66.1,2.1,2.3,-2.1,17,131,14,2,134,1,13,3,23.1,0.85,0.2,0.08,0.33,15.8,0,0,0,0.09,-0.2,-0.2,1126,1012,107,46,6,20,59,8,53,17,13,0,982,7,8,50,3.28,37,11,0,2,0,0,5,0.33,5,0,0,0,0,0,1277,17,228,738,326,26,1277,29,12,41.4,9,31,757,3756,1919,24,24,1,24,9,930,32,0,26,28,2,59,26,0,0,0,110,12,13,48
"2022-2023","Benfica","Primeira Liga","Gilberto","BRA","DF","29",20,8,798,8.9,2,1,3,2,0,0,2,0,1.1,1.1,2.9,4,50,45,95,0.23,0.11,0.34,0.23,0.34,0.13,0.32,0.45,0.13,0.45,8.9,23,14,10,10,3,15,26,57.7,11,12,2,10,11,34,13,0,635,771,82.4,8777,2369,374,413,90.6,217,247,87.9,18,49,36.7,2.9,3,-1.9,18,39,24,8,45,2,6,4,66.7,0.68,0.45,0.33,0.5,14.7,0,0,0,0.19,0.9,0.9,771,651,117,7,2,3,49,110,0,0,0,0,635,3,21,29,3.27,24,0,1,2,1,1,2,0.23,1,0,0,1,0,0,887,19,156,368,367,19,887,45,19,42.2,18,40,492,2908,1587,50,42,5,16,11,574,95,0,10,7,2,49,14,0,0,0,62,7,13,35
"2022-2023","Benfica","Primeira Liga","Morato","BRA","DF","21",9,7,648,7.2,1,0,1,1,0,0,2,0,0.3,0.3,0,0.3,7,38,0,0.14,0,0.14,0.14,0.14,0.04,0,0.04,0.04,0.04,7.2,9,7,6,2,1,3,5,60,2,5,3,2,7,16,19,0,441,490,90,7705,3093,188,200,94,201,212,94.8,38,56,67.9,0,0.1,0,0,32,0,0,38,1,3,2,66.7,0.42,0.28,0.33,0.5,13.8,0,0,0,0.11,0.7,0.7,490,480,8,7,1,1,0,1,0,0,0,0,441,2,2,5,0.69,5,0,0,0,0,0,0,0,0,0,0,0,0,0,547,56,265,274,9,3,547,1,1,100,0,0,340,1496,897,7,4,0,2,1,386,0,0,10,3,0,0,7,0,0,0,52,19,10,65.5
"2022-2023","Benfica","Primeira Liga","João Neves","POR","MF,FW","17",17,6,611,6.8,1,0,1,1,0,0,1,0,1.8,1.8,0.2,2.1,5,50,12,0.15,0,0.15,0.15,0.15,0.27,0.04,0.31,0.27,0.31,6.8,26,19,14,9,3,13,26,50,13,15,3,12,9,35,5,0,427,500,85.4,7440,1972,187,206,90.8,180,202,89.1,45,64,70.3,0.2,0.4,-0.2,5,45,6,0,50,1,13,4,30.8,1.91,0.59,0.08,0.25,17.1,0,0,0,0.15,-0.8,-0.8,500,473,25,19,1,4,8,4,2,2,0,0,427,2,8,19,2.8,14,0,1,2,1,1,2,0.29,1,0,0,1,0,0,600,10,115,356,135,16,600,19,8,42.1,7,36.8,332,1487,672,5,9,2,8,8,428,12,0,15,22,0,8,19,0,0,0,56,14,10,58.3
"2022-2023","Benfica","Primeira Liga","Gonçalo Guedes","POR","FW,MF","25",12,4,409,4.5,1,1,2,1,0,0,1,0,0.9,0.9,1.3,2.2,21,20,52,0.22,0.22,0.44,0.22,0.44,0.2,0.29,0.49,0.2,0.49,4.5,7,2,1,5,1,2,2,100,0,7,0,7,1,8,1,0,127,170,74.7,1767,345,80,95,84.2,29,41,70.7,9,12,75,1.3,1.2,-0.3,9,3,11,3,20,1,15,5,33.3,3.3,1.1,0.07,0.2,18.2,0,0,0,0.06,0.1,0.1,170,163,7,0,1,0,15,2,5,1,0,0,127,0,9,20,4.4,15,0,3,1,1,0,4,0.88,2,0,1,0,1,0,241,1,15,78,152,26,241,17,8,47.1,6,35.3,157,990,483,21,7,8,16,5,180,52,0,9,9,4,15,2,0,0,0,16,1,4,20
"2022-2023","Benfica","Primeira Liga","Julian Draxler","GER","MF,FW","28",10,4,407,4.5,1,0,1,1,0,0,0,0,1.5,1.5,0.6,2.1,10,33,44,0.22,0,0.22,0.22,0.22,0.34,0.12,0.46,0.34,0.46,4.5,5,2,0,3,2,2,4,50,2,5,1,4,1,6,1,0,203,229,88.6,3010,542,128,135,94.8,52,59,88.1,17,19,89.5,0.6,1.2,-0.6,10,24,8,1,33,1,11,3,27.3,2.43,0.66,0.09,0.33,17.1,0,0,0,0.14,-0.5,-0.5,229,224,3,0,2,2,4,0,1,1,0,0,203,2,6,21,4.64,20,0,0,1,0,0,2,0.44,2,0,0,0,0,0,270,1,11,117,144,19,270,3,2,66.7,1,33.3,147,784,314,10,5,2,11,9,208,44,0,1,1,2,4,2,0,0,0,17,2,1,66.7
"2022-2023","Benfica","Primeira Liga","Petar Musa","CRO","FW","24",30,2,666,7.4,7,2,9,7,0,0,1,0,7,7,2.2,9.2,10,18,40,0.95,0.27,1.22,0.95,1.22,0.94,0.29,1.24,0.94,1.24,7.4,12,9,1,4,7,4,11,36.4,7,5,3,2,7,19,3,0,131,192,68.2,1600,351,83,109,76.1,28,38,73.7,6,13,46.2,2.2,1.8,-0.2,16,8,6,0,18,7,38,15,39.5,5.14,2.03,0.18,0.47,11.9,0,0,0,0.18,0,0,192,183,6,0,4,0,2,0,0,0,0,0,131,3,2,35,4.73,26,0,2,4,1,2,5,0.68,3,0,0,1,1,0,303,6,25,110,174,75,303,12,7,58.3,4,33.3,149,605,315,10,6,6,23,12,219,40,0,18,10,6,2,9,1,0,0,21,30,13,69.8
"2022-2023","Benfica","Primeira Liga","Diogo Gonçalves","POR","FW","25",10,2,302,3.4,0,0,0,0,0,0,0,0,1,1,0.9,1.9,18,12,47,0,0,0,0,0,0.29,0.28,0.57,0.29,0.57,3.4,6,6,1,3,2,2,4,50,2,4,0,4,1,7,1,0,123,159,77.4,1472,439,75,85,88.2,27,37,73,5,9,55.6,0.9,0.8,-0.9,4,8,6,3,12,0,15,5,33.3,4.47,1.49,0,0,17.9,1,0,0,0.06,-1,-1,159,149,9,2,0,0,14,2,5,4,1,0,123,1,11,15,4.5,11,2,0,2,0,0,2,0.6,2,0,0,0,0,0,207,0,12,73,125,20,207,11,2,18.2,7,63.6,124,946,457,18,12,6,4,6,156,47,0,4,6,2,14,6,0,0,0,20,0,0,NA
"2022-2023","Benfica","Primeira Liga","Mihailo Ristić","SRB","DF","26",7,1,117,1.3,1,1,2,1,0,0,0,0,0.2,0.2,0.6,0.8,10,4,13,0.77,0.77,1.54,0.77,1.54,0.18,0.47,0.65,0.18,0.65,1.3,2,2,1,0,1,1,1,100,0,3,0,3,2,4,1,0,108,127,85,1684,400,56,61,91.8,41,45,91.1,6,14,42.9,0.6,0.5,0.4,3,3,3,2,4,1,4,1,25,3.08,0.77,0.25,1,22.9,1,0,0,0.06,0.8,0.8,127,106,21,5,0,0,9,16,0,0,0,0,108,0,2,4,3.1,4,0,0,0,0,0,1,0.78,1,0,0,0,0,0,146,5,36,60,53,2,146,4,2,50,2,50,84,489,266,10,8,1,2,0,102,13,0,2,1,0,9,2,0,0,0,8,1,1,50
"2022-2023","Benfica","Primeira Liga","Henrique Araújo","POR","MF,FW","20",5,0,71,0.8,0,0,0,0,0,0,0,0,0.6,0.6,0.1,0.6,2,4,8,0,0,0,0,0,0.72,0.1,0.83,0.72,0.83,0.8,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,1,0,15,19,78.9,265,58,6,9,66.7,8,8,100,1,1,100,0.1,0,-0.1,1,2,1,0,4,0,3,1,33.3,3.8,1.27,0,0,8.9,0,0,0,0.19,-0.6,-0.6,19,18,1,0,0,0,0,0,0,0,0,0,15,0,1,2,2.57,2,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1,1,10,14,7,25,1,1,100,0,0,14,69,47,2,2,1,1,1,19,8,0,0,0,2,0,0,0,0,0,1,1,2,33.3
"2022-2023","Benfica","Primeira Liga","Julian Weigl","GER","MF","26",2,0,58,0.6,0,0,0,0,0,0,1,0,0,0,0,0.1,0,9,2,0,0,0,0,0,0.05,0.04,0.09,0.05,0.09,0.6,2,2,1,1,0,0,0,NA,0,2,0,2,0,2,0,0,78,80,97.5,1599,362,30,31,96.8,32,32,100,15,16,93.8,0,0.1,0,1,12,1,0,9,0,1,0,0,1.55,0,0,NA,22.4,0,0,0,0.03,0,0,80,80,0,0,0,2,0,0,0,0,0,0,78,0,0,2,3.1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,5,70,12,1,86,0,0,NA,0,NA,55,179,98,0,1,0,1,0,75,2,0,1,1,0,0,2,0,0,0,8,1,0,100
"2022-2023","Benfica","Primeira Liga","Roman Yaremchuk","UKR","FW","26",2,0,50,0.6,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,1,3,4,0,0,0,0,0,0.24,0.2,0.44,0.24,0.44,0.6,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,13,16,81.3,167,31,7,8,87.5,5,5,100,0,0,NA,0.1,0.1,-0.1,2,0,1,0,3,0,2,0,0,3.6,0,0,NA,14.7,0,0,0,0.07,-0.1,-0.1,16,16,0,0,0,0,0,0,0,0,0,0,13,0,1,4,7.2,3,0,0,0,1,0,1,1.8,1,0,0,0,0,0,21,0,1,2,18,5,21,0,0,NA,0,NA,14,67,42,1,2,0,2,0,22,4,0,0,1,0,0,0,0,0,0,0,0,1,0
"2022-2023","Benfica","Primeira Liga","Rodrigo Pinho","BRA","FW","31",2,0,46,0.5,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0,2,4,0,0,0,0,0,0.34,0,0.34,0.34,0.34,0.5,0,0,0,0,0,0,0,NA,0,1,0,1,0,0,0,0,9,11,81.8,98,23,4,5,80,3,4,75,0,0,NA,0,0,0,0,0,0,0,2,0,2,0,0,3.91,0,0,NA,14.6,0,0,0,0.09,-0.2,-0.2,11,11,0,0,0,0,0,0,0,0,0,0,9,0,0,1,1.96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,1,9,9,2,19,2,0,0,2,100,6,18,8,0,0,0,1,1,13,4,0,1,2,0,0,0,0,0,0,2,1,1,50
"2022-2023","Benfica","Primeira Liga","Casper Tengstedt","DEN","FW,MF","22",4,0,24,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0.15,0,0.15,0.15,0.15,0.3,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,1,0,6,8,75,91,17,2,3,66.7,2,2,100,1,1,100,0,0,0,0,0,1,1,0,0,1,1,100,3.75,3.75,0,0,16.8,0,0,0,0.04,0,0,8,7,1,0,0,0,1,0,0,0,0,0,6,0,0,1,3.75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,2,3,7,2,12,1,0,0,1,100,5,40,5,0,0,0,0,0,6,3,0,0,0,0,1,0,0,0,0,0,0,3,0
"2022-2023","Benfica","Primeira Liga","Lucas Veríssimo","BRA","DF","27",2,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,14,16,87.5,261,105,4,4,100,9,10,90,1,2,50,0,0,0,0,0,0,0,2,0,0,0,NA,0,0,NA,NA,NA,0,0,0,NA,0,0,16,16,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,8,9,0,0,16,0,0,NA,0,NA,13,56,17,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,1,1,0,100
"2022-2023","Benfica","Primeira Liga","John Brooks","USA","MF,DF","29",2,0,4,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,2.36,2.36,0,2.36,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,1,3,33.3,4,0,0,0,NA,0,1,0,0,0,NA,0.1,0.1,-0.1,1,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,0,0,0,NA,0,0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,22.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,3,2,4,0,0,NA,0,NA,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,1,1,50
"2022-2023","Benfica","Primeira Liga","Jan Vertonghen","BEL","DF","35",1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,3,3,100,43,10,2,2,100,1,1,100,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,0,0,0,NA,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,1,0,0,3,0,0,NA,0,NA,3,20,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"2022-2023","Benfica","Primeira Liga","Cher Ndour","ITA","MF","18",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,5,5,100,60,8,3,3,100,2,2,100,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,0,0,0,NA,0,0,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,4,0,0,5,0,0,NA,0,NA,3,8,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"2022-2023","Benfica","Primeira Liga","Andreas Schjelderup","NOR","FW","18",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,1,2,50,8,3,1,1,100,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,0,0,0,NA,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,3,2,4,1,0,0,1,100,4,22,8,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,NA
"2022-2023","Porto","Primeira Liga","Mehdi Taremi","IRN","FW","30",33,31,2610,29,22,7,29,15,7,8,7,0,20.1,13.8,6.4,20.2,64,87,208,0.76,0.24,1,0.52,0.76,0.69,0.22,0.91,0.47,0.69,29,22,14,6,8,8,9,30,30,21,19,1,18,8,30,20,0,608,823,73.9,7975,1943,383,463,82.7,147,206,71.4,26,41,63.4,6.4,5.8,0.6,46,52,32,1,87,22,88,41,46.6,3.03,1.41,0.17,0.37,15.5,3,7,8,0.16,1.9,1.2,823,777,39,3,14,5,13,14,2,0,0,0,608,7,24,92,3.16,73,0,5,8,5,1,18,0.62,13,0,3,0,1,1,1146,21,94,432,635,211,1138,62,29,46.8,29,46.8,673,3532,1856,64,42,29,64,24,844,208,0,33,42,20,13,14,1,0,0,81,61,55,52.6
