Player,Nation,Age,Born,MP_Playing,Starts_Playing,Min_Playing,Gls,Ast,PK,PKatt,xG_Expected,npxG_Expected,xAG_Expected,PrgC_Progression,PrgP_Progression,PrgR_Progression,Mins_Per_90,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Challenges,Att_Challenges,Lost_Challenges,Sh_Blocks,Pass_Blocks,Int,Clr,Err,Cmp_Total,Att_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp_Medium,Att_Medium,Cmp_Long,Att_Long,xA,KP,Final_Third,PPA,CrsPA,Sh_Standard,SoT_Standard,Dist_Standard,FK_Standard,Att,Live_Pass,Dead_Pass,FK_Pass,TB_Pass,Sw_Pass,Crs_Pass,TI_Pass,CK_Pass,In_Corner,Out_Corner,Str_Corner,Cmp_Outcomes,Off_Outcomes,Blocks_Outcomes,SCA_SCA,PassLive_SCA,PassDead_SCA,TO_SCA,Sh_SCA,Fld_SCA,Def_SCA,GCA_GCA,PassLive_GCA,PassDead_GCA,TO_GCA,Sh_GCA,Fld_GCA,Def_GCA,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Att_Take,Succ_Take,Tkld_Take,Carries_Carries,TotDist_Carries,PrgDist_Carries,Final_Third_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Rec_Receiving,Fls,Fld,Off,Crs,PKwon,PKcon,OG,Recov,Won_Aerial,Lost_Aerial,Pos,Squad
Rafael Fernandes,POR,20,2003,0.0,1,135,0,0,0,0,0.4,0.4,0.0,1.0,6.0,0.0,1.5,2.0,2,1.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,3,6.0,0.0,52.0,55.0,875.0,430.0,23.0,23.0,28.0,31.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2,1,6.5,0.0,55.0,54.0,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,17.0,52.0,19.0,2.0,2.0,72.0,0.0,0.0,0.0,44.0,186.0,83.0,0.0,0.0,1.0,0.0,41.0,2,0,0,0,0.0,0.0,0,8.0,5.0,3.0,"DF,FW",Arouca
Rafael Martins,BRA,33,1990,0.0,18,1431,6,1,0,0,5.0,5.0,0.8,13.0,24.0,57.0,15.9,8.0,4,1.0,5.0,2.0,0.0,4.0,4.0,0.0,13.0,0,15.0,0.0,243.0,378.0,3445.0,553.0,121.0,178.0,85.0,117.0,12.0,21.0,0.3,12.0,22.0,1.0,0.0,37,10,15.6,0.0,378.0,343.0,32.0,1.0,1.0,0.0,4,0.0,0.0,0.0,0.0,0.0,243.0,3.0,18.0,27.0,17.0,0.0,0.0,6.0,2.0,2.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,517.0,16.0,60.0,304.0,158.0,44.0,517.0,8.0,4.0,4.0,234.0,1056.0,402.0,9.0,3.0,34.0,15.0,373.0,30,28,8,4,0.0,0.0,0,53.0,37.0,44.0,FW,Casa Pia
Rafik Guitane,FRA,23,2000,0.0,9,785,0,1,0,0,0.2,0.2,1.2,28.0,29.0,25.0,8.7,7.0,6,2.0,4.0,1.0,4.0,12.0,8.0,1.0,9.0,3,2.0,0.0,210.0,267.0,3635.0,908.0,111.0,124.0,57.0,70.0,34.0,47.0,1.3,10.0,14.0,15.0,3.0,5,2,24.6,0.0,267.0,253.0,12.0,4.0,2.0,3.0,14,1.0,7.0,4.0,3.0,0.0,210.0,2.0,7.0,25.0,16.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,358.0,3.0,53.0,183.0,133.0,12.0,358.0,61.0,33.0,23.0,249.0,1995.0,997.0,20.0,4.0,18.0,9.0,264.0,7,14,1,14,0.0,0.0,0,38.0,1.0,3.0,"MF,FW",Estoril
Raphael Guzzo,POR,27,1996,30.0,29,2355,2,3,0,0,2.9,2.9,2.5,27.0,148.0,67.0,26.2,63.0,32,22.0,34.0,7.0,32.0,59.0,27.0,10.0,23.0,34,26.0,0.0,1347.0,1654.0,21494.0,7899.0,706.0,773.0,479.0,573.0,114.0,191.0,1.7,23.0,120.0,20.0,2.0,25,9,19.8,3.0,1654.0,1512.0,138.0,74.0,5.0,10.0,64,22.0,36.0,23.0,9.0,0.0,1347.0,4.0,38.0,46.0,32.0,9.0,0.0,2.0,2.0,1.0,4.0,2.0,1.0,0.0,0.0,0.0,1.0,1900.0,83.0,461.0,1075.0,379.0,30.0,1900.0,26.0,11.0,11.0,925.0,4318.0,2120.0,15.0,5.0,31.0,21.0,1292.0,38,30,2,64,1.0,1.0,0,174.0,15.0,17.0,MF,Vizela
Reggie Cannon,USA,24,1999,30.0,26,2313,0,0,0,0,0.1,0.1,0.2,15.0,30.0,8.0,25.7,46.0,29,36.0,9.0,1.0,25.0,40.0,15.0,14.0,13.0,59,93.0,0.0,1030.0,1205.0,19459.0,6055.0,332.0,360.0,618.0,668.0,71.0,148.0,0.2,3.0,29.0,3.0,1.0,2,0,15.7,0.0,1205.0,1133.0,69.0,31.0,0.0,1.0,9,38.0,0.0,0.0,0.0,0.0,1030.0,3.0,12.0,10.0,7.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1462.0,176.0,825.0,590.0,57.0,3.0,1462.0,13.0,7.0,6.0,773.0,3046.0,1345.0,10.0,0.0,5.0,13.0,937.0,47,15,0,9,0.0,0.0,1,119.0,22.0,28.0,DF,Boavista
Renato Pantalon,CRO,24,1999,22.0,21,1794,1,0,0,0,0.5,0.5,0.3,6.0,53.0,3.0,19.9,30.0,18,15.0,15.0,0.0,16.0,26.0,10.0,18.0,11.0,26,80.0,0.0,773.0,920.0,14637.0,4838.0,283.0,316.0,399.0,446.0,83.0,138.0,0.2,3.0,56.0,0.0,0.0,5,2,9.3,0.0,920.0,886.0,34.0,33.0,0.0,2.0,3,1.0,0.0,0.0,0.0,0.0,773.0,0.0,9.0,11.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1124.0,110.0,561.0,537.0,31.0,12.0,1124.0,1.0,1.0,0.0,546.0,2273.0,1189.0,4.0,0.0,12.0,2.0,720.0,29,4,2,3,0.0,0.0,0,80.0,28.0,13.0,DF,Rio Ave
Rene Santos,BRA,30,1993,14.0,13,1091,1,1,0,0,0.5,0.5,0.5,1.0,31.0,0.0,12.1,25.0,17,13.0,8.0,4.0,14.0,19.0,5.0,8.0,11.0,10,44.0,0.0,523.0,615.0,11519.0,4239.0,126.0,137.0,310.0,328.0,84.0,139.0,0.1,6.0,31.0,0.0,0.0,7,1,15.4,0.0,615.0,570.0,43.0,34.0,0.0,10.0,0,4.0,0.0,0.0,0.0,0.0,523.0,2.0,3.0,11.0,8.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,740.0,114.0,429.0,296.0,23.0,11.0,740.0,4.0,3.0,0.0,388.0,1605.0,657.0,3.0,0.0,10.0,0.0,458.0,16,14,0,0,0.0,1.0,0,74.0,24.0,11.0,"DF,MF",Marítimo
Ricardinho,POR,23,2000,25.0,21,1803,0,3,0,0,1.3,1.3,2.3,45.0,61.0,111.0,20.0,24.0,17,8.0,12.0,4.0,13.0,36.0,23.0,3.0,17.0,7,14.0,0.0,381.0,521.0,5599.0,1716.0,213.0,253.0,127.0,173.0,24.0,46.0,1.8,21.0,34.0,22.0,1.0,20,9,18.3,0.0,521.0,493.0,23.0,3.0,3.0,2.0,14,7.0,1.0,1.0,0.0,0.0,381.0,5.0,12.0,52.0,40.0,0.0,3.0,4.0,4.0,1.0,9.0,6.0,0.0,0.0,0.0,2.0,1.0,748.0,16.0,116.0,357.0,284.0,45.0,748.0,78.0,23.0,46.0,412.0,2765.0,1605.0,31.0,11.0,38.0,24.0,483.0,35,28,3,14,1.0,0.0,0,104.0,5.0,13.0,"FW,MF",Santa Clara
Ricardo Esgaio,POR,29,1994,25.0,15,1313,1,3,0,0,1.9,1.9,3.3,27.0,69.0,116.0,14.6,40.0,32,10.0,25.0,5.0,25.0,43.0,18.0,0.0,10.0,9,27.0,0.0,686.0,867.0,11935.0,3007.0,319.0,363.0,309.0,370.0,50.0,95.0,2.3,20.0,53.0,14.0,6.0,12,8,14.2,0.0,867.0,701.0,164.0,15.0,2.0,6.0,44,149.0,0.0,0.0,0.0,0.0,686.0,2.0,17.0,36.0,35.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,1010.0,30.0,221.0,459.0,336.0,36.0,1010.0,15.0,7.0,8.0,477.0,2106.0,1113.0,16.0,5.0,12.0,5.0,594.0,21,4,6,44,0.0,1.0,0,59.0,18.0,8.0,"DF,MF",Sporting CP
Ricardo Guimarães,POR,26,1997,29.0,22,1966,0,0,0,0,0.7,0.7,1.5,32.0,90.0,55.0,21.8,49.0,29,21.0,25.0,3.0,27.0,79.0,52.0,10.0,30.0,31,34.0,1.0,754.0,910.0,12479.0,3616.0,339.0,392.0,326.0,371.0,60.0,83.0,1.1,26.0,79.0,7.0,3.0,19,4,26.6,0.0,910.0,871.0,33.0,30.0,7.0,7.0,8,2.0,0.0,0.0,0.0,0.0,754.0,6.0,19.0,47.0,36.0,0.0,3.0,1.0,4.0,3.0,4.0,2.0,0.0,0.0,0.0,2.0,0.0,1213.0,65.0,283.0,750.0,196.0,14.0,1213.0,75.0,41.0,29.0,654.0,3372.0,1436.0,14.0,4.0,41.0,28.0,770.0,41,43,0,8,2.0,0.0,0,161.0,23.0,13.0,MF,Chaves
