Player,Nation,Age,Born,MP_Playing,Starts_Playing,Min_Playing,Gls,Ast,PK,PKatt,xG_Expected,npxG_Expected,xAG_Expected,PrgC_Progression,PrgP_Progression,PrgR_Progression,Mins_Per_90,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Challenges,Att_Challenges,Lost_Challenges,Sh_Blocks,Pass_Blocks,Int,Clr,Err,Cmp_Total,Att_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp_Medium,Att_Medium,Cmp_Long,Att_Long,xA,KP,Final_Third,PPA,CrsPA,Sh_Standard,SoT_Standard,Dist_Standard,FK_Standard,Att,Live_Pass,Dead_Pass,FK_Pass,TB_Pass,Sw_Pass,Crs_Pass,TI_Pass,CK_Pass,In_Corner,Out_Corner,Str_Corner,Cmp_Outcomes,Off_Outcomes,Blocks_Outcomes,SCA_SCA,PassLive_SCA,PassDead_SCA,TO_SCA,Sh_SCA,Fld_SCA,Def_SCA,GCA_GCA,PassLive_GCA,PassDead_GCA,TO_GCA,Sh_GCA,Fld_GCA,Def_GCA,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Att_Take,Succ_Take,Tkld_Take,Carries_Carries,TotDist_Carries,PrgDist_Carries,Final_Third_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Rec_Receiving,Fls,Fld,Off,Crs,PKwon,PKcon,OG,Recov,Won_Aerial,Lost_Aerial,Pos,Squad
André Ramalho,BRA,30.0,1993.0,0.0,20,1832,0,0,0,0,1.0,1.0,0.1,11,78,0,20.4,30,17,16,13,1,15,23,8,17,12,25,72,2,1216,1394,24095,9940,402,445,667,709,137,213,0.3,3,75,1,0,14,2,14.1,0,1394,1359,34,28,0,8,2,6,0,0,0,0,1216,1,6,15,13,1,0,1,0,0,1,1,0,0,0,0,0,1598,147,734,824,50,13,1598,1,0,1,937,4783,2935,10,0,8,1,1068,18,10,1,2,0,0,0,139,56,42,DF,PSV Eindhoven
Anthony Descotte,BEL,18.0,2005.0,6.0,1,110,1,0,0,0,0.3,0.3,0.0,3,1,8,1.2,0,0,0,0,0,0,3,3,0,0,0,0,0,12,16,141,14,9,9,3,5,0,1,0.0,0,0,0,0,4,2,17.4,0,16,16,0,0,0,1,2,0,0,0,0,0,12,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,34,0,2,13,19,5,34,3,2,1,25,184,70,1,2,5,3,27,3,2,3,2,0,0,0,5,0,5,"FW,MF",Utrecht
Anthony Musaba,NED,21.0,2002.0,16.0,2,330,1,0,0,0,0.5,0.5,0.8,25,8,36,3.7,5,3,2,0,3,1,2,1,1,7,1,1,0,76,102,949,281,49,56,21,28,1,3,0.9,7,4,7,3,11,6,17.5,0,102,101,1,1,1,0,5,0,0,0,0,0,76,0,7,13,10,0,3,0,0,0,0,0,0,0,0,0,0,167,3,21,57,94,22,167,31,14,16,123,1250,712,14,13,11,9,128,4,2,0,5,0,0,0,19,3,9,FW,NEC Nijmegen
Antoine Colassin,BEL,21.0,2002.0,0.0,8,747,3,0,0,0,1.3,1.3,1.0,13,29,53,8.3,21,11,14,2,5,12,22,10,2,15,4,16,0,191,282,2771,803,125,154,52,80,11,28,1.8,11,21,11,3,23,9,19.5,0,282,276,6,0,5,3,11,4,0,0,0,0,191,0,12,26,19,0,1,4,2,0,1,0,0,1,0,0,0,420,18,81,175,167,32,420,23,9,14,209,1067,417,11,4,17,11,260,17,6,2,11,0,1,0,44,12,18,"FW,MF",Heerenveen
Antoni Milambo,NED,14.0,2009.0,0.0,0,19,0,0,0,0,0.0,0.0,0.0,0,1,1,0.2,1,0,0,1,0,0,0,0,0,0,0,0,0,10,12,166,42,4,4,5,6,1,1,0.0,0,0,0,0,1,1,22.9,0,12,12,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,2,10,5,1,17,1,0,1,10,46,24,0,0,1,0,12,0,0,0,0,0,0,0,0,0,0,MF,Feyenoord
Antony,BRA,22.0,2001.0,2.0,2,180,1,2,0,0,0.4,0.4,0.6,14,12,33,2.0,2,2,1,0,1,1,1,0,0,2,0,0,0,79,104,1150,364,45,54,27,34,5,8,1.0,3,5,9,2,9,2,20.0,0,104,96,7,1,2,1,6,5,1,0,0,0,79,1,0,10,5,0,3,1,1,0,2,2,0,0,0,0,0,133,0,5,30,100,12,133,12,8,4,94,632,409,8,4,4,1,104,0,5,0,6,0,0,0,8,1,0,FW,Ajax
Anwar El Ghazi,NED,27.0,1996.0,0.0,12,1182,8,0,0,0,4.6,4.6,2.6,41,43,138,13.1,11,7,1,4,6,6,11,5,2,6,4,5,0,330,496,5010,1423,187,231,96,136,28,64,2.3,13,22,15,4,39,15,16.0,4,496,456,36,8,0,3,73,10,16,4,7,0,330,4,21,30,14,6,1,3,5,1,0,0,0,0,0,0,0,661,5,56,238,372,67,661,55,23,28,374,2329,1124,25,16,35,14,507,10,15,8,73,1,0,0,53,23,17,FW,PSV Eindhoven
Arianit Ferati,KVX,24.0,1999.0,27.0,18,1479,1,1,0,0,0.6,0.6,1.5,21,98,35,16.4,46,29,25,19,2,22,46,24,5,19,21,22,1,566,718,11033,3536,235,276,213,259,102,148,1.6,15,87,17,2,16,2,26.1,0,718,685,29,21,5,10,25,1,6,3,2,0,566,4,10,40,33,1,2,1,2,1,4,3,0,0,0,1,0,908,45,265,487,167,10,908,34,20,10,513,2680,1204,18,1,17,16,533,25,22,0,25,1,0,0,121,10,25,MF,Fortuna Sittard
Armando Obispo,NED,23.0,2000.0,0.0,21,1718,2,1,0,0,1.4,1.4,0.5,15,123,6,19.1,23,14,18,5,0,13,24,11,8,9,39,65,3,1146,1344,22974,8505,385,438,604,653,142,219,0.6,5,150,5,0,18,4,11.9,1,1344,1314,24,22,2,23,1,0,0,0,0,0,1146,6,4,18,13,0,0,4,0,1,3,3,0,0,0,0,0,1527,119,637,850,50,25,1527,6,3,2,891,4569,2759,12,1,7,2,1029,10,5,0,1,0,0,0,139,54,29,DF,PSV Eindhoven
Arnaud Luzayadio,FRA,23.0,2000.0,1.0,0,45,0,0,0,0,0.0,0.0,0.0,2,0,3,0.5,0,0,0,0,0,0,0,0,0,1,1,0,0,8,13,147,15,4,6,1,2,2,3,0.0,0,0,1,1,0,0,0.0,0,13,13,0,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,3,5,12,1,20,0,0,0,8,49,15,0,0,3,0,12,0,1,0,3,0,0,0,3,1,0,FW,Emmen
Arno Verschueren,BEL,25.0,1998.0,31.0,28,2448,9,4,0,0,5.3,5.3,2.9,33,96,139,27.2,60,38,22,26,12,23,61,38,13,28,32,35,0,617,878,9143,2447,336,423,201,281,41,89,3.3,35,60,17,5,52,19,15.4,0,878,850,26,1,4,4,29,2,0,0,0,0,617,2,36,76,59,0,2,11,3,1,8,4,0,1,3,0,0,1223,61,256,567,408,95,1223,35,12,20,579,2570,1013,23,5,45,18,709,49,17,3,29,0,0,0,145,44,39,MF,Sparta Rotterdam
Arthur Zagre,FRA,20.0,2003.0,11.0,8,686,0,0,0,0,0.5,0.5,0.0,5,12,13,7.7,14,10,7,4,3,8,13,5,3,15,11,19,0,221,270,3545,1082,133,146,70,88,16,25,0.30000000000000004,1,9,4,0,6,1,28.1,0,270,211,58,5,2,2,4,53,0,0,0,0,221,1,6,5,5,0,0,0,0,0,0,0,0,0,0,0,0,376,36,170,141,70,14,376,26,15,9,166,789,334,6,3,18,7,167,10,4,0,4,0,0,0,48,3,4,DF,Utrecht + Excelsior
Aslak Witry,NOR,26.0,1997.0,0.0,0,53,0,1,0,0,0.0,0.0,0.7,1,3,3,0.6,1,0,0,1,0,0,0,0,0,1,0,1,0,54,60,786,239,31,34,13,15,6,6,0.7,1,2,1,0,0,0,0.0,0,60,51,9,0,0,0,0,9,0,0,0,0,54,0,0,5,5,0,0,0,0,0,2,2,0,0,0,0,0,64,1,13,29,23,1,64,1,0,1,33,115,44,2,0,1,0,46,0,0,0,0,0,0,0,4,0,2,DF,AZ Alkmaar
Aventis Aventisian,GRE,19.0,2004.0,2.0,0,12,0,0,0,0,0.0,0.0,0.0,0,1,1,0.1,1,1,0,1,0,1,1,0,0,0,0,0,0,5,7,102,30,1,1,4,5,0,0,0.0,0,1,0,0,0,0,0.0,0,7,7,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,2,6,1,0,9,0,0,0,4,9,7,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,"MF,DF",Go Ahead Eagles
Azzeddine Toufiqui,FRA,23.0,2000.0,5.0,0,60,0,0,0,0,0.1,0.1,0.0,4,7,5,0.7,0,0,0,0,0,0,1,1,0,0,0,1,0,19,29,304,128,12,13,4,9,3,5,0.0,1,4,0,0,1,0,10.9,0,29,28,1,0,0,0,1,1,0,0,0,0,19,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,38,3,6,16,16,3,38,2,1,1,22,114,66,2,1,2,2,28,1,2,0,1,0,0,0,5,0,1,"MF,FW",Emmen
Bart Ramselaar,NED,26.0,1997.0,9.0,3,346,0,0,0,0,0.5,0.5,0.7,9,6,26,3.8,8,7,3,4,1,4,8,4,1,5,1,1,0,121,149,1750,312,73,85,37,40,5,11,1.1,4,5,2,2,8,0,20.2,0,149,145,4,0,0,1,7,2,0,0,0,0,121,0,5,9,6,0,0,3,0,0,0,0,0,0,0,0,0,192,2,20,100,73,10,192,11,4,4,121,615,262,5,3,4,2,137,1,4,1,7,0,0,0,19,2,6,FW,Utrecht
Bart Vriends,NED,31.0,1992.0,30.0,29,2444,2,0,0,0,0.9,0.9,0.1,13,87,0,27.2,32,17,22,8,2,13,28,15,27,11,30,119,0,1226,1430,27482,9309,261,301,760,817,198,287,0.3,2,66,3,1,8,2,8.7,0,1430,1403,26,21,0,12,1,1,0,0,0,0,1226,1,7,15,14,0,0,1,0,0,1,1,0,0,0,0,0,1689,204,869,802,21,11,1689,3,2,1,1015,5644,3233,1,0,8,1,1119,22,6,0,1,0,1,0,110,88,51,DF,Sparta Rotterdam
Bart van Rooij,NED,21.0,2002.0,33.0,33,2970,0,0,0,0,1.1,1.1,3.4,62,112,135,33.0,70,37,48,18,4,38,79,41,16,31,35,75,1,1313,1716,22570,7325,605,695,532,712,135,220,3.2,30,92,25,17,16,5,21.7,0,1716,1384,329,34,5,10,71,295,0,0,0,0,1313,3,27,57,47,7,3,0,0,0,2,2,0,0,0,0,0,2046,121,695,922,442,34,2046,45,18,21,996,5232,2435,44,8,31,16,1084,33,25,0,71,0,1,1,165,39,30,DF,NEC Nijmegen
Bartosz Białek,POL,20.0,2003.0,25.0,18,1533,5,1,0,0,4.7,4.7,1.5,9,26,75,17.0,10,2,3,3,4,6,16,10,1,6,0,13,0,194,298,2867,597,107,151,59,89,13,23,1.3,20,13,8,0,35,11,13.9,0,298,283,14,0,2,5,3,2,0,0,0,0,194,1,9,43,25,1,4,6,7,0,4,3,0,0,1,0,0,496,17,38,193,267,83,496,36,15,19,282,996,291,10,10,54,22,369,26,19,4,3,0,0,0,39,25,57,FW,Vitesse
Bas Dost,NED,33.0,1990.0,22.0,14,1352,9,2,0,0,6.1,6.1,1.9,3,48,58,15.0,10,8,2,7,1,4,12,8,4,7,2,25,0,280,428,3741,1015,163,238,87,134,9,16,2.6,19,42,7,0,36,18,10.6,0,428,411,16,0,0,1,0,0,0,0,0,0,280,1,4,44,38,1,1,3,1,0,5,3,0,1,1,0,0,557,29,53,318,186,69,557,3,3,0,224,550,205,6,1,21,9,428,9,3,5,0,0,0,0,24,90,42,FW,Utrecht
Bas Kuipers,NED,27.0,1996.0,23.0,21,1905,3,1,0,0,3.0,3.0,4.2,39,99,108,21.2,27,11,14,10,3,15,26,11,13,9,27,61,0,706,979,12914,5534,306,363,297,391,87,161,3.1,27,56,41,17,25,12,13.2,0,979,739,235,30,2,4,80,195,10,2,4,0,706,5,24,51,38,7,0,4,1,1,3,2,0,0,1,0,0,1212,84,381,420,416,50,1212,27,9,17,516,2405,1283,26,10,25,14,594,22,11,3,80,0,1,0,96,23,18,DF,Go Ahead Eagles
Ben Rienstra,NED,32.0,1991.0,0.0,1,150,0,0,0,0,0.1,0.1,0.0,2,10,2,1.7,1,1,0,1,0,0,1,1,0,0,0,1,0,56,71,1118,224,12,14,38,44,6,11,0.1,1,5,1,0,1,0,21.7,0,71,71,0,0,0,1,1,0,0,0,0,0,56,0,0,5,3,0,1,0,0,1,0,0,0,0,0,0,0,79,2,17,46,16,1,79,1,1,0,40,229,113,4,0,3,0,57,0,0,0,1,0,0,0,7,1,1,"MF,DF",Cambuur
Ben Scholte,NED,20.0,2003.0,7.0,1,165,0,0,0,0,0.1,0.1,0.0,0,4,7,1.8,1,1,0,1,0,0,2,2,1,2,1,4,0,26,42,486,173,9,14,11,11,5,13,0.2,1,4,1,0,3,1,21.2,0,42,42,0,0,0,0,1,0,0,0,0,0,26,0,3,3,2,0,1,0,0,0,1,1,0,0,0,0,0,61,4,17,28,16,2,61,2,1,0,35,126,40,0,0,3,2,41,0,1,1,1,0,0,0,6,3,4,MF,Emmen
Benaissa Benamar,MAR,25.0,1998.0,29.0,24,2055,2,1,0,0,0.9,0.9,0.9,6,75,13,22.8,32,22,19,12,1,14,27,13,15,12,21,78,0,777,990,15964,5723,249,288,407,472,112,195,0.7,6,66,12,0,9,3,16.1,0,990,920,60,40,1,17,8,20,0,0,0,0,777,10,8,21,18,0,1,0,0,2,3,3,0,0,0,0,0,1199,148,566,554,85,10,1199,12,8,4,603,2749,1102,5,1,14,5,663,18,3,0,8,0,0,0,152,42,27,"DF,MF",Volendam
Bilal Ould-Chikh,MAR,25.0,1998.0,17.0,10,943,2,0,0,0,1.2,1.2,1.2,48,17,74,10.5,7,4,4,3,0,1,2,1,1,11,6,3,0,186,287,3296,612,99,123,56,76,25,57,1.3,12,7,13,9,18,5,21.9,0,287,251,35,6,0,6,55,23,6,5,0,0,186,1,13,34,21,2,7,3,1,0,1,0,0,1,0,0,0,423,5,55,149,229,25,423,62,25,23,263,2516,1114,28,14,33,15,281,8,19,2,55,0,0,0,43,2,7,"FW,MF",Volendam
Billy van Duijl,NED,16.0,2007.0,3.0,2,149,0,0,0,0,0.0,0.0,0.0,3,4,0,1.7,2,1,2,0,0,1,4,3,0,0,3,5,0,65,84,1476,472,15,17,36,42,14,23,0.0,1,2,0,0,0,0,0.0,0,84,79,5,4,0,1,0,1,0,0,0,0,65,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,96,15,60,37,1,0,96,1,1,0,54,376,266,1,0,0,0,65,0,0,0,0,0,0,0,6,0,3,DF,Volendam
Bjørn Johnsen,NOR,30.0,1993.0,0.0,10,876,3,0,1,1,5.4,4.7,0.6,3,14,40,9.7,4,1,0,1,3,1,7,6,1,4,3,23,0,98,181,1416,348,51,97,38,57,4,9,0.5,6,12,2,0,22,8,14.0,0,181,169,11,0,0,1,1,1,0,0,0,0,98,1,4,14,12,1,0,1,0,0,0,0,0,0,0,0,0,298,25,34,152,114,40,297,8,4,4,134,336,114,2,1,38,5,208,7,6,7,1,0,0,0,16,37,46,FW,Cambuur
Bobby Adekanye,NED,23.0,2000.0,31.0,28,2146,6,4,0,0,4.0,4.0,3.4,64,78,167,23.8,30,17,8,18,4,11,45,34,4,24,9,5,0,435,618,6631,2142,245,301,130,186,34,70,2.7,31,44,25,6,46,15,18.4,0,618,605,12,6,6,4,42,2,2,1,0,0,435,1,22,81,53,1,11,8,8,0,9,8,0,0,1,0,0,958,9,118,423,441,89,958,114,52,46,645,3914,1864,39,22,72,45,664,44,68,4,42,0,0,0,128,8,37,"FW,MF",Go Ahead Eagles
Brian Brobbey,NED,20.0,2003.0,32.0,17,1650,13,3,0,0,14.4,14.4,3.4,14,12,154,18.3,9,6,1,3,5,3,4,1,1,4,3,10,0,259,339,3059,334,160,201,62,77,4,6,3.1,23,9,3,0,65,31,10.1,0,339,310,29,1,1,1,0,1,0,0,0,0,259,0,4,42,27,0,2,10,3,0,4,2,0,0,1,1,0,542,10,23,184,338,180,542,22,8,13,316,1506,454,10,14,47,22,415,22,24,15,0,0,0,0,31,36,43,FW,Ajax
Brian Plat,NED,22.0,2001.0,29.0,26,2193,0,0,0,0,0.7,0.7,0.4,27,60,42,24.4,96,61,52,32,12,39,60,21,9,30,36,78,0,566,812,9713,3508,272,338,237,316,47,105,0.3,7,45,0,0,12,3,18.0,0,812,667,140,10,0,2,23,130,0,0,0,0,566,5,23,20,14,1,1,2,1,1,0,0,0,0,0,0,0,1176,109,527,486,175,22,1176,29,8,16,483,2777,1112,14,3,38,23,447,34,20,0,23,0,1,1,164,55,48,DF,Volendam
Bruno Martins Indi,NED,30.0,1993.0,0.0,4,314,0,0,0,0,0.1,0.1,0.3,8,20,0,3.5,2,1,2,0,0,1,2,1,2,0,1,11,0,238,275,5069,1509,56,60,145,158,36,53,0.3,3,34,1,0,2,0,21.2,0,275,268,7,7,1,2,1,0,0,0,0,0,238,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,298,21,100,170,28,4,298,0,0,0,199,996,680,8,0,0,0,220,4,0,0,1,0,0,0,14,11,11,DF,AZ Alkmaar
Burak Yılmaz,TUR,37.0,1986.0,26.0,24,2218,9,4,6,6,12.1,7.6,1.9,36,48,153,24.6,8,5,1,5,2,1,11,10,0,9,2,28,0,417,567,6632,1075,206,270,157,204,33,46,1.9,29,19,21,2,69,19,19.7,10,567,495,68,4,2,2,14,6,1,0,0,0,417,4,5,74,47,1,3,12,11,0,18,7,0,1,5,5,0,819,31,52,361,409,105,813,45,13,26,492,2377,940,25,15,63,31,641,19,41,33,14,3,0,0,33,27,31,FW,Fortuna Sittard
